state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1114569,7574,-2640,298,-242,65,101,5976,-3,-37,-32,0,20636,54,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1665,0
1114574,7594,-2560,312,-214,57,93,5976,-3,-52,-29,0,20636,54,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114574,0
1114579,7614,-2508,288,-211,51,100,5976,7,-37,-28,0,20638,40,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114579,0
1114584,7658,-2484,232,-201,52,97,5976,5,-15,-31,0,20638,40,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114584,0
1114589,7682,-2466,250,-204,61,93,5976,-1,-1,-31,0,20634,44,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114589,0
1114594,7718,-2490,226,-198,60,96,5975,1,-2,-30,0,20634,44,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114594,0
1114599,7718,-2464,206,-193,60,96,5975,-2,2,-28,0,20634,45,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114599,0
1114604,7780,-2456,184,-176,63,97,5975,-4,-4,-27,0,20634,45,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114604,0
1114609,7814,-2438,176,-167,65,90,5976,0,0,-27,0,20632,51,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114609,0
1114614,7834,-2450,140,-169,65,91,5975,0,3,-29,0,20632,51,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114614,0
1114619,7846,-2458,144,-168,69,89,5977,4,1,-28,0,20632,54,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114619,0
1114624,7866,-2472,150,-166,88,81,5975,0,0,-26,0,20632,54,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114624,0
1114629,7852,-2482,154,-167,93,74,5975,0,3,-26,0,20634,54,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114629,0
1114634,7856,-2512,158,-168,108,78,5975,-2,0,-28,0,20634,54,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114634,0
1114639,7810,-2520,158,-166,116,71,5976,2,3,-29,0,20635,62,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114639,0
1114644,7840,-2552,186,-165,120,65,5976,2,3,-28,0,20635,62,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114644,0
1114649,7798,-2598,204,-163,123,56,5976,4,-1,-28,0,20633,58,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114649,0
1114654,7814,-2596,228,-154,124,53,5974,-7,-1,-29,0,20633,58,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114654,0
1114659,7818,-2580,238,-156,120,56,5976,1,2,-28,0,20635,53,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114659,0
1114664,7792,-2554,216,-144,101,37,5975,0,-2,-30,0,20635,53,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114664,0
1114669,7814,-2490,190,-147,100,32,5976,0,2,-29,0,20635,38,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114669,0
1114674,7798,-2508,186,-147,99,17,5975,3,-3,-27,0,20635,38,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114674,0
1114679,7858,-2528,214,-153,90,10,5975,-4,2,-27,0,20634,47,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114679,0
1114684,7808,-2508,222,-150,82,-8,5975,0,-3,-29,0,20634,47,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114684,0
1114689,7804,-2518,220,-145,75,-7,5975,2,3,-29,0,20627,52,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114689,0
1114694,7780,-2512,220,-147,74,-14,5974,-6,2,-29,0,20627,52,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114694,0
1114699,7806,-2520,236,-140,72,-18,5975,-1,2,-28,0,20626,39,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114699,0
1114704,7750,-2566,262,-133,79,-34,5975,-4,2,-29,0,20626,39,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114704,0
1114709,7730,-2610,274,-133,79,-39,5975,-2,-3,-30,0,20627,36,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114709,0
1114714,7758,-2600,280,-115,76,-39,5976,5,1,-31,0,20627,36,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114714,0
1114719,7722,-2622,258,-113,76,-46,5975,-2,1,-30,0,20631,41,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114719,0
1114724,7678,-2666,254,-96,71,-49,5976,0,5,-29,0,20631,41,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114724,0
1114729,7706,-2646,278,-88,67,-58,5976,-7,-3,-30,0,20631,46,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114729,0
1114734,7680,-2670,284,-77,59,-61,5976,4,1,-30,0,20631,46,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114734,0
1114739,7658,-2684,288,-66,52,-72,5975,3,-4,-31,0,20630,56,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114739,0
1114744,7672,-2670,278,-39,37,-78,5976,-2,2,-32,0,20630,56,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114744,0
1114749,7666,-2686,278,-24,34,-77,5977,0,3,-32,0,20632,47,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114749,0
1114754,7674,-2658,264,-15,32,-82,5977,4,5,-34,0,20632,47,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114754,0
1114759,7718,-2668,282,-6,29,-83,5978,7,-1,-34,0,20633,53,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114759,0
1114764,7676,-2672,294,15,20,-84,5978,1,-5,-34,0,20633,53,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114764,0
1114769,7690,-2676,274,21,16,-80,5978,4,1,-35,0,20634,60,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114770,0
1114774,7706,-2682,288,27,17,-83,5978,-6,0,-32,0,20634,60,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114775,0
1114779,7682,-2656,268,44,20,-82,5979,3,0,-33,0,20629,61,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114780,0
1114784,7702,-2658,286,49,22,-81,5981,9,-3,-37,0,20629,61,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114785,0
1114789,7708,-2640,282,61,10,-82,5979,-1,0,-33,0,20624,59,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114790,0
1114794,7674,-2668,288,72,4,-76,5980,0,-2,-32,0,20624,59,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114795,0
1114799,7712,-2632,246,91,-3,-77,5981,1,3,-34,0,20623,47,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114800,0
1114804,7706,-2608,228,103,-7,-75,5982,3,3,-32,0,20623,47,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114805,0
1114809,7740,-2620,234,108,-15,-70,5982,4,-1,-33,0,20626,45,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114810,0
1114814,7712,-2636,242,116,-24,-80,5983,0,-2,-36,0,20626,45,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114815,0
1114819,7718,-2624,246,126,-35,-74,5983,2,-1,-34,0,20624,48,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114820,0
1114824,7752,-2608,196,144,-32,-70,5984,6,-1,-35,0,20624,48,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114825,0
1114829,7760,-2594,212,145,-36,-71,5983,4,1,-34,0,20623,48,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114830,0
1114834,7790,-2594,212,149,-32,-66,5984,7,-2,-35,0,20623,48,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114835,0
1114839,7786,-2542,216,154,-40,-63,5985,7,0,-33,0,20626,51,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114840,0
1114844,7762,-2504,238,163,-40,-55,5984,-6,-1,-34,0,20626,51,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114845,0
1114849,7782,-2460,258,172,-37,-55,5985,6,0,-35,0,20629,50,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114850,0
1114854,7762,-2486,260,176,-34,-52,5985,0,-2,-34,0,20629,50,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114855,0
1114859,7800,-2444,258,178,-40,-59,5985,0,3,-34,0,20629,48,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114860,0
1114864,7776,-2450,258,181,-41,-61,5987,12,-4,-32,0,20629,48,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114865,0
1114869,7788,-2432,226,178,-41,-57,5987,6,2,-35,0,20630,49,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114870,0
1114874,7836,-2398,234,184,-37,-55,5986,12,4,-37,0,20630,49,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114875,0
1114879,7806,-2356,240,187,-38,-47,5988,0,1,-35,0,20631,56,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114880,0
1114884,7812,-2336,226,183,-36,-49,5988,5,2,-38,0,20631,56,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114885,0
1114889,7838,-2342,230,177,-36,-46,5989,2,-1,-39,0,20632,61,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114890,0
1114894,7820,-2338,210,167,-33,-47,5990,4,-1,-41,0,20632,61,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114895,0
1114899,7860,-2416,168,159,-24,-75,5992,7,-1,-45,0,20630,60,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114900,0
1114904,7896,-2558,226,186,-40,-91,5993,7,4,-51,0,20630,60,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114905,0
1114909,7846,-2358,216,213,-42,-84,5997,6,6,-58,0,20627,53,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114910,0
1114914,7898,-2228,102,218,-22,-82,6002,29,11,-71,0,20627,53,32,73,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1114915,0
1114919,7854,-2130,132,210,-29,-95,6011,41,19,-95,0,20629,38,32,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1114920,0
