state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
5833222,3912,-7188,-588,41,-36,5,61452,6,1,2,0,20236,78,36,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,1672,0
5833227,3872,-7180,-566,37,-29,4,61451,1,3,1,0,20234,76,36,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833227,0
5833232,3900,-7186,-608,38,-30,2,61453,10,-2,1,0,20234,76,36,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833232,0
5833237,3910,-7174,-552,33,-29,5,61451,2,-2,1,0,20232,73,37,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,5833237,0
5833242,3912,-7178,-602,32,-22,2,61451,0,0,1,0,20232,73,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833242,0
5833247,3894,-7206,-580,31,-17,6,61452,5,-5,3,0,20231,75,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833247,0
5833252,3884,-7212,-576,23,-13,4,61449,-1,0,2,0,20231,75,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833252,0
5833257,3884,-7210,-566,21,-13,1,61451,2,-2,2,0,20234,78,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833257,0
5833262,3852,-7210,-580,21,-11,7,61451,-1,-4,2,0,20234,78,37,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,5833262,0
5833267,3866,-7214,-588,25,-15,6,61450,0,7,2,0,20234,81,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833267,0
5833272,3864,-7180,-576,20,-9,5,61451,1,-3,3,0,20234,81,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833272,0
5833277,3858,-7212,-580,23,-5,4,61450,-6,0,5,0,20235,81,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833277,0
5833282,3876,-7228,-588,18,-3,11,61451,5,2,2,0,20235,81,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833282,0
5833287,3846,-7214,-576,19,-6,8,61450,4,2,2,0,20233,77,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833287,0
5833292,3860,-7218,-592,16,6,6,61450,-12,1,2,0,20233,77,37,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,5833292,0
5833297,3870,-7234,-564,15,2,9,61452,-2,-3,3,0,20234,67,37,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,5833297,0
5833302,3880,-7226,-588,13,7,11,61451,2,0,2,0,20234,67,37,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833302,0
5833307,3876,-7196,-552,13,7,7,61451,2,2,1,0,20233,60,36,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833307,0
5833312,3860,-7204,-558,13,14,13,61451,1,-10,1,0,20233,60,36,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833312,0
5833317,3838,-7220,-562,15,11,11,61452,0,0,4,0,20234,62,36,79,16,0,0,0,0,0,0,0,-32281,0,0,0,0,0,5833317,0
5833322,3818,-7212,-550,8,15,11,61451,-2,-1,3,0,20234,62,36,79,16,0,0,0,0,0,0,0,-32282,0,0,0,0,0,5833322,0
