state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
4289075,7862,-2312,-66,-45,37,10,5262,-1,-6,1,0,184,17,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,1725,0
4289080,7854,-2310,-54,-42,34,9,5263,0,-2,2,0,182,11,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289080,0
4289085,7850,-2290,-52,-40,35,11,5263,0,2,2,0,182,11,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289085,0
4289090,7858,-2278,-66,-34,35,9,5263,-3,4,4,0,182,13,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289089,0
4289095,7828,-2322,-46,-29,43,13,5262,-1,-2,0,0,182,13,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289094,0
4289100,7842,-2300,-76,-23,43,6,5262,-5,-3,2,0,182,36,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289099,0
4289105,7806,-2302,-38,-24,46,8,5262,-1,3,0,0,182,36,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289104,0
4289110,7838,-2272,-74,-16,48,4,5260,-10,-3,2,0,184,49,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289109,0
4289115,7806,-2278,-78,-17,44,8,5262,-6,-2,2,0,184,49,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289114,0
4289120,7812,-2302,-68,-9,51,10,5262,-2,-1,2,0,183,42,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289119,0
4289125,7848,-2284,-62,-11,52,12,5263,-2,-3,1,0,183,42,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289124,0
4289130,7830,-2286,-86,-9,55,9,5263,0,-1,2,0,181,29,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289129,0
4289135,7840,-2268,-74,-4,55,11,5262,-3,-3,5,0,181,29,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289134,0
4289140,7860,-2234,-68,-11,60,13,5262,-1,-3,2,0,181,22,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289139,0
4289145,7856,-2220,-54,-9,62,14,5262,-3,3,1,0,181,22,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289144,0
4289150,7842,-2238,-50,-11,61,16,5263,3,2,3,0,181,22,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289149,0
4289155,7844,-2202,-66,-14,62,22,5263,6,-4,5,0,181,22,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289154,0
4289160,7828,-2188,-64,-22,67,20,5262,-2,2,6,0,180,6,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289159,0
4289165,7812,-2194,-74,-26,67,24,5264,5,2,2,0,180,6,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289164,0
4289170,7834,-2224,-64,-29,65,21,5263,3,-1,3,0,180,3,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289169,0
4289175,7844,-2232,-58,-28,67,22,5262,4,-4,1,0,180,3,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289174,0
4289180,7794,-2260,-60,-20,72,27,5262,-3,-1,2,0,182,9,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289179,0
4289185,7828,-2272,-46,-20,68,26,5263,5,1,3,0,182,9,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289184,0
4289190,7810,-2266,-52,-17,62,30,5262,-3,-3,1,0,183,18,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289189,0
4289195,7804,-2258,-54,-14,63,30,5262,-5,0,2,0,183,18,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289194,0
4289200,7818,-2232,-40,-21,55,30,5262,0,1,2,0,182,15,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289199,0
4289205,7852,-2260,-48,-12,61,36,5262,-3,-2,0,0,182,15,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289204,0
4289210,7834,-2250,-44,-16,55,35,5262,-1,0,0,0,182,4,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289209,0
4289215,7808,-2248,-10,-21,59,36,5263,0,1,2,0,182,4,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289214,0
4289220,7830,-2206,-28,-23,52,36,5263,0,2,1,0,185,-4,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289219,0
4289225,7842,-2196,-12,-19,54,41,5262,-5,-2,0,0,185,-4,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289224,0
4289230,7832,-2192,-12,-19,52,45,5263,0,-1,2,0,185,3,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289229,0
4289235,7824,-2196,-30,-33,45,43,5263,2,1,1,0,185,3,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289234,0
4289240,7830,-2194,-22,-39,46,51,5263,3,-1,2,0,183,6,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289239,0
4289245,7836,-2208,-32,-42,47,50,5263,0,-1,1,0,183,6,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289244,0
4289250,7820,-2208,-38,-43,42,50,5262,-3,2,0,0,182,9,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289249,0
4289255,7790,-2232,-30,-44,42,49,5263,3,3,2,0,182,9,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289254,0
4289260,7802,-2226,-32,-53,44,57,5263,1,0,2,0,182,1,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289259,0
4289265,7792,-2224,-14,-51,45,55,5262,-1,-3,2,0,182,1,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289264,0
4289270,7768,-2236,-40,-57,46,60,5262,0,0,0,0,184,15,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289269,0
4289275,7786,-2248,-18,-55,51,59,5263,3,2,2,0,184,15,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289275,0
4289280,7786,-2208,-30,-57,46,60,5263,7,-1,2,0,184,21,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289280,0
4289285,7784,-2230,-30,-56,51,58,5262,1,-1,3,0,184,21,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289285,0
4289290,7812,-2250,-12,-55,46,57,5263,0,-1,2,0,183,21,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289290,0
4289295,7780,-2240,-52,-53,51,51,5263,1,4,2,0,183,21,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289295,0
4289300,7780,-2288,-32,-57,44,52,5262,3,-2,3,0,182,13,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289300,0
4289305,7762,-2296,-38,-57,42,45,5263,-1,-3,0,0,182,13,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289305,0
4289310,7794,-2298,-22,-62,42,46,5262,-2,2,2,0,180,12,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289310,0
4289315,7772,-2300,-32,-54,43,48,5262,0,-2,2,0,180,12,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289315,0
4289320,7794,-2328,-36,-54,43,42,5262,4,0,2,0,182,10,33,68,0,6,0,0,0,0,0,0,-32289,0,0,0,0,0,4289320,0
4289325,7818,-2364,-30,-49,43,41,5263,-2,4,1,0,182,10,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289325,0
4289330,7820,-2356,-22,-52,44,44,5263,0,4,0,0,181,16,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289330,0
4289335,7808,-2356,-30,-43,37,40,5261,0,-5,0,0,181,16,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289335,0
4289340,7804,-2342,-36,-36,36,40,5262,1,2,1,0,181,13,34,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289339,0
4289345,7814,-2348,-22,-33,34,40,5264,6,-2,1,0,181,13,34,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289344,0
4289350,7814,-2322,-28,-33,42,37,5261,-1,0,4,0,182,13,33,68,0,6,0,0,0,0,0,0,-32289,0,0,0,0,0,4289350,0
4289355,7800,-2272,-10,-40,34,43,5262,-2,-3,6,0,182,13,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289355,0
4289360,7804,-2274,38,-36,23,39,5263,1,0,2,0,184,19,34,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289359,0
4289365,7808,-2246,52,-36,18,32,5263,4,0,1,0,184,19,34,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289364,0
4289370,7866,-2248,42,-35,23,30,5262,-2,-3,1,0,184,19,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289369,0
4289375,7842,-2242,36,-53,37,25,5262,1,-1,0,0,184,19,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289374,0
4289380,7822,-2312,22,-57,47,21,5262,-3,1,2,0,181,24,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289379,0
4289385,7816,-2322,26,-38,50,25,5261,0,2,2,0,181,24,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289384,0
4289390,7826,-2322,24,-39,56,22,5262,1,1,1,0,183,12,33,68,0,6,0,0,0,0,0,0,-32289,0,0,0,0,0,4289389,0
4289395,7838,-2318,24,-32,50,26,5262,1,1,2,0,183,12,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289394,0
4289400,7812,-2312,2,-38,47,31,5262,0,2,1,0,183,5,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289400,0
4289405,7842,-2316,6,-35,49,29,5263,1,1,-1,0,183,5,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289404,0
4289410,7808,-2298,0,-34,50,25,5261,-1,-2,-1,0,184,-13,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289409,0
4289415,7838,-2280,-14,-27,50,22,5262,-2,0,3,0,184,-13,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289414,0
4289420,7810,-2236,-28,-26,46,26,5261,-5,-4,3,0,181,-14,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289419,0
4289425,7818,-2262,-28,-33,47,26,5261,-5,-2,0,0,181,-14,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289424,0
4289430,7800,-2226,-32,-35,45,22,5262,1,-1,1,0,181,-8,33,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289429,0
4289435,7812,-2184,-28,-35,41,20,5261,-3,-4,2,0,181,-8,33,68,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,4289434,0
4289440,7812,-2198,-14,-48,42,20,5262,7,-1,2,0,181,3,34,68,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,4289439,0
