state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
840389,3334,-7504,52,-38,193,85,59186,0,1,1,0,20469,47,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,1660,0
840394,3340,-7472,40,-43,196,96,59186,1,3,1,0,20469,43,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840394,0
840399,3338,-7474,64,-40,200,99,59187,10,-2,0,0,20469,43,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840399,0
840404,3368,-7404,62,-51,199,108,59186,0,2,-2,0,20472,56,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840404,0
840409,3360,-7444,90,-55,209,113,59187,7,0,-6,0,20472,56,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840409,0
840414,3362,-7448,100,-58,212,122,59187,0,7,-5,0,20470,59,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840414,0
840419,3398,-7458,94,-65,211,125,59188,-2,3,-6,0,20470,59,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840418,0
840424,3394,-7442,94,-74,217,130,59189,10,3,-7,0,20467,66,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840423,0
840429,3404,-7418,72,-88,222,132,59192,11,6,-9,0,20467,66,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840428,0
840434,3394,-7376,68,-84,229,136,59190,1,5,-10,0,20466,60,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840433,0
840439,3400,-7380,58,-93,229,132,59195,5,3,-15,0,20466,60,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840438,0
840444,3416,-7366,18,-102,230,126,59197,18,2,-25,0,20464,69,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840443,0
840449,3458,-7372,54,-105,230,120,59201,21,8,-36,0,20464,69,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840448,0
840454,3484,-7324,34,-109,228,106,59208,30,13,-55,0,20461,71,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840453,0
840459,3504,-7292,28,-113,217,90,59219,53,22,-89,0,20461,71,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840458,0
840464,3566,-7300,-10,-111,210,51,59233,67,42,-129,0,20459,57,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840463,0
840469,3376,-7306,-4,-136,256,82,59245,46,39,-127,0,20459,57,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840468,0
840474,3096,-7400,52,-162,291,125,59250,18,11,-70,0,20462,50,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840473,0
840479,2986,-7414,66,-155,296,152,59250,-3,-24,-23,0,20462,50,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840478,0
840484,3210,-7360,32,-143,282,156,59253,0,-55,-7,0,20466,46,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840483,0
840489,3266,-7340,14,-143,288,152,59253,7,-50,-9,0,20466,46,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840488,0
840494,3264,-7348,0,-149,291,148,59254,10,-20,-12,0,20467,51,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840493,0
840499,3234,-7414,14,-155,290,142,59256,5,-4,-16,0,20467,51,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840498,0
840504,3210,-7478,-4,-157,279,126,59258,14,7,-21,0,20462,56,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840503,0
840509,3194,-7538,-2,-153,272,113,59260,10,5,-21,0,20462,56,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840508,0
840514,3196,-7510,-12,-155,259,107,59263,14,4,-32,0,20463,35,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840513,0
840519,3220,-7504,-16,-149,248,92,59270,22,7,-45,0,20463,35,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840518,0
840524,3368,-7490,-42,-142,213,34,59279,38,25,-69,0,20464,31,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840523,0
840529,3438,-7522,-20,-133,185,-10,59292,62,35,-113,0,20464,31,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840528,0
840534,3446,-7536,-44,-130,173,-29,59309,71,50,-146,0,20466,36,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840533,0
840539,3274,-7596,-18,-159,208,-5,59323,52,41,-123,0,20466,36,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840538,0
840544,2878,-7698,54,-160,212,28,59330,33,19,-83,0,20460,52,30,144,0,0,0,0,0,0,0,0,-32292,0,0,0,0,0,840543,0
840549,3040,-7592,46,-136,185,15,59340,35,-12,-74,0,20460,52,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840548,0
840554,3268,-7542,0,-126,160,-18,59353,66,-24,-101,0,20454,58,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840552,0
840559,3386,-7534,6,-124,154,-32,59369,68,5,-129,0,20454,58,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840557,0
840564,2918,-7692,40,-172,233,31,59379,44,12,-101,0,20454,46,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840562,0
840569,2664,-7730,98,-170,236,60,59379,2,-10,-34,0,20454,46,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840568,0
840574,2744,-7638,82,-151,198,60,59378,2,-44,-2,0,20455,46,30,144,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,840572,0
