state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
35921,7922,-2474,102,99,32,120,5972,-1,-1,-3,0,171,-79,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,2009,0
35926,7922,-2474,68,109,39,120,5970,-4,-3,-3,0,173,-92,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35926,0
35931,7910,-2462,66,110,45,121,5973,5,1,-3,0,173,-92,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35931,0
35936,7840,-2610,40,112,45,118,5973,4,-1,-4,0,177,-100,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35936,0
35941,7876,-2682,36,137,49,122,5972,-5,1,-2,0,177,-100,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35941,0
35946,7816,-2710,104,155,43,123,5972,0,-1,-2,0,176,-95,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35946,0
35951,7880,-2750,104,163,40,122,5972,0,-3,-3,0,176,-95,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35951,0
35956,7846,-2822,180,195,33,115,5973,7,-3,-2,0,174,-79,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35956,0
35961,7784,-2778,228,220,20,120,5971,0,1,-3,0,174,-79,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35961,0
35966,7786,-2776,246,243,12,128,5972,0,-1,-2,0,172,-78,29,144,0,6,0,0,0,0,0,0,-32297,0,0,0,0,0,35966,0
35971,7748,-2812,248,246,5,120,5972,2,-5,-10,0,172,-78,29,144,0,6,0,0,0,0,0,0,-32297,0,0,0,0,0,35971,0
35976,7682,-2820,228,307,-8,121,5972,5,4,-5,0,170,-101,29,144,0,6,0,0,0,0,0,0,-32297,0,0,0,0,0,35975,0
35981,7654,-2742,210,327,-23,130,5971,2,1,-3,0,170,-101,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35980,0
35986,7590,-2734,226,335,-23,124,5972,0,-1,-3,0,169,-91,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35985,0
35991,7618,-2806,196,361,-32,126,5972,0,2,-2,0,169,-91,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35990,0
35996,7628,-2762,152,407,-44,131,5971,0,-3,-4,0,170,-79,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,35995,0
36001,7572,-2776,222,415,-55,124,5971,-4,0,-2,0,170,-79,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,36000,0
36006,7620,-2834,150,458,-51,126,5971,-3,-4,-3,0,173,-67,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,36005,0
36011,7598,-2794,194,477,-69,126,5972,1,6,-3,0,173,-67,29,144,0,6,0,0,0,0,0,0,-32296,0,0,0,0,0,36010,0
36016,7648,-2832,200,503,-74,115,5971,-3,0,-2,0,173,-82,29,144,0,6,0,0,0,0,0,0,-32297,0,0,0,0,0,36015,0
36021,7672,-2832,154,541,-75,122,5971,0,2,-1,0,173,-82,29,144,0,6,0,0,0,0,0,0,-32297,0,0,0,0,0,36020,0
