state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1738706,7798,-2474,-78,6,13,-17,6406,-1,-1,-2,0,179,14,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1696,0
1738711,7780,-2476,-98,13,11,-24,6407,-9,-4,-2,0,179,14,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738711,0
1738716,7800,-2480,-94,12,14,-25,6407,2,1,-2,0,176,15,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738716,0
1738721,7798,-2514,-80,13,13,-27,6407,-3,-2,-2,0,176,15,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738721,0
1738726,7766,-2530,-94,14,14,-20,6409,5,3,-2,0,181,56,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738726,0
1738731,7766,-2510,-94,21,14,-24,6409,3,1,-4,0,181,56,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738730,0
1738736,7768,-2526,-100,24,16,-19,6409,9,5,-4,0,181,52,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738735,0
1738741,7736,-2536,-136,26,16,-20,6407,0,-3,-3,0,181,52,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738740,0
1738746,7734,-2538,-104,33,13,-16,6408,1,2,-1,0,181,46,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738745,0
1738751,7754,-2524,-94,38,11,-21,6407,2,3,0,0,181,46,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738750,0
1738756,7762,-2542,-88,44,12,-20,6408,-1,1,-2,0,177,24,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738755,0
1738761,7788,-2544,-104,44,9,-20,6408,5,1,-1,0,177,24,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738760,0
1738766,7798,-2530,-108,51,13,-18,6407,5,0,-1,0,176,-5,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738765,0
1738771,7764,-2538,-106,52,10,-18,6408,4,0,-1,0,176,-5,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738770,0
1738776,7828,-2550,-98,62,18,-14,6406,-7,-1,-2,0,176,-6,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738775,0
1738781,7796,-2582,-84,63,17,-17,6406,-2,-3,-1,0,176,-6,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738780,0
1738786,7826,-2572,-98,63,16,-17,6407,0,-3,-1,0,175,-3,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738785,0
1738791,7816,-2562,-90,67,9,-14,6407,-6,2,-1,0,175,-3,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738790,0
1738796,7768,-2540,-112,71,19,-14,6407,-5,-3,-2,0,177,-4,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738795,0
1738801,7786,-2598,-116,71,14,-13,6408,1,-4,-3,0,177,-4,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738800,0
1738806,7770,-2548,-106,75,13,-14,6407,-3,-2,-4,0,180,-2,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738805,0
1738811,7722,-2570,-102,78,13,-9,6408,1,0,-1,0,180,-2,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738810,0
1738816,7740,-2604,-98,90,8,-12,6407,0,1,-2,0,183,9,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738815,0
1738821,7696,-2596,-78,93,12,-13,6406,-3,-4,-3,0,183,9,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738820,0
1738826,7674,-2618,-62,107,8,-13,6408,0,1,-2,0,182,16,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738825,0
1738831,7712,-2612,-82,115,0,-19,6407,-2,-1,-1,0,182,16,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738830,0
1738836,7664,-2606,-72,137,-9,-17,6406,-7,-1,-2,0,181,22,31,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738835,0
1738841,7670,-2572,-62,149,-17,-25,6408,-4,0,-3,0,181,22,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738840,0
1738846,7708,-2558,-50,170,-25,-29,6407,1,-1,0,0,181,30,31,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738845,0
1738851,7688,-2564,-66,177,-36,-33,6408,0,-1,-1,0,181,30,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738850,0
1738856,7710,-2526,-74,178,-50,-34,6408,-4,3,0,0,180,26,32,66,0,6,0,0,0,0,0,0,-32294,0,0,0,0,0,1738855,0
1738861,7704,-2532,-90,186,-51,-33,6406,-7,-4,-3,0,180,26,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738860,0
1738866,7716,-2546,-100,187,-58,-38,6407,-3,-2,-2,0,182,32,32,66,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,1738865,0
1738871,7706,-2528,-96,190,-64,-41,6408,5,0,-3,0,182,32,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738869,0
1738876,7680,-2490,-90,191,-74,-40,6407,-1,0,0,0,180,13,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738874,0
1738881,7726,-2460,-102,207,-68,-46,6408,0,0,2,0,180,13,32,66,0,6,0,0,0,0,0,0,-32294,0,0,0,0,0,1738879,0
1738886,7718,-2426,-116,219,-80,-41,6408,0,4,-2,0,180,30,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738884,0
1738891,7746,-2408,-116,219,-75,-50,6407,-3,-4,-2,0,180,30,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738889,0
1738896,7752,-2312,-124,184,-68,-40,6408,0,-1,-1,0,180,32,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738894,0
1738901,7774,-2352,-126,191,-70,-45,6408,2,2,-3,0,180,32,32,66,0,6,0,0,0,0,0,0,-32294,0,0,0,0,0,1738899,0
1738906,7804,-2326,-120,192,-66,-48,6408,1,-4,-4,0,177,44,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738905,0
1738911,7810,-2322,-110,194,-63,-42,6407,0,2,-7,0,177,44,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738910,0
1738916,7824,-2296,-138,176,-53,-37,6407,-4,0,-5,0,177,28,32,66,0,6,0,0,0,0,0,0,-32294,0,0,0,0,0,1738915,0
1738921,7846,-2306,-152,168,-47,-40,6408,0,0,-1,0,177,28,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738920,0
1738926,7860,-2306,-122,162,-42,-40,6407,0,-3,-2,0,177,20,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738925,0
1738931,7830,-2278,-166,163,-36,-34,6408,5,4,-1,0,177,20,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738930,0
1738936,7878,-2274,-134,158,-34,-36,6407,-1,-1,-2,0,177,6,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738935,0
1738941,7842,-2234,-158,151,-23,-35,6407,-9,2,-1,0,177,6,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738940,0
1738946,7876,-2272,-158,138,-15,-36,6408,-3,0,-1,0,179,14,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738945,0
1738951,7832,-2244,-160,134,-15,-32,6408,2,0,-4,0,179,14,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738950,0
1738956,7826,-2256,-166,129,-12,-33,6408,-4,0,-2,0,180,13,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738955,0
1738961,7806,-2248,-162,126,-12,-37,6408,5,0,-3,0,180,13,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738960,0
1738966,7832,-2236,-144,122,-20,-40,6407,0,-2,-3,0,178,25,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738965,0
1738971,7810,-2226,-134,104,-7,-37,6407,-1,0,-3,0,178,25,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738970,0
1738976,7860,-2206,-132,137,-14,-62,6408,3,5,-1,0,175,18,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738975,0
1738981,7842,-2214,-142,134,-13,-67,6408,0,-3,-4,0,175,18,31,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738979,0
1738986,7772,-2322,-176,73,-4,-24,6408,2,1,-6,0,176,19,32,66,0,6,0,0,0,0,0,0,-32293,0,0,0,0,0,1738984,0
