state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1493958,8052,-1594,484,-367,165,-57,72080,5,0,-2,0,20404,57,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1660,0
1493963,8030,-1636,474,-386,167,-52,72079,6,1,-2,0,20404,57,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493963,0
1493968,7900,-1656,458,-519,202,-28,72080,6,1,-5,0,20403,66,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493968,0
1493973,7880,-1722,518,-509,214,-34,72081,10,7,-4,0,20403,66,32,79,0,0,0,0,0,0,0,0,-32291,0,0,0,0,0,1493973,0
1493978,7850,-1746,546,-467,193,-57,72080,1,0,-2,0,20407,77,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493977,0
1493983,7926,-1802,520,-405,176,-80,72080,0,0,-3,0,20407,77,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493982,0
1493988,7872,-1726,456,-470,185,-77,72081,0,-3,-3,0,20408,86,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493987,0
1493993,7898,-1794,442,-521,207,-78,72081,1,-2,-2,0,20408,86,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493992,0
1493998,7862,-1878,454,-543,201,-85,72080,-4,-3,-1,0,20408,77,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1493997,0
1494003,7942,-2036,456,-529,199,-93,72081,2,0,-1,0,20408,77,32,79,0,0,0,0,0,0,0,0,-32290,0,0,0,0,0,1494002,0
1494008,7912,-2190,454,-478,178,-116,72080,0,-3,0,0,20404,73,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1494007,0
1494013,7946,-2194,452,-480,179,-125,72080,0,2,-2,0,20404,73,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1494012,0
1494018,7928,-2190,412,-476,172,-139,72080,1,1,-1,0,20403,76,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1494017,0
1494023,7926,-2246,364,-489,172,-130,72083,10,10,0,0,20403,76,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1494022,0
1494028,7834,-2180,338,-519,184,-147,72080,-1,-1,-1,0,20404,75,32,79,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1494027,0
1494033,7844,-2294,390,-447,148,-175,72081,-1,0,-1,0,20404,75,32,79,0,0,0,0,0,0,0,0,-32290,0,0,0,0,0,1494032,0
