state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
2264071,7102,-3998,966,17,4,19,989,-2,1,-2,0,173,-42,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,1679,0
2264076,7052,-4018,974,15,1,20,987,-14,-3,-1,0,173,-42,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264076,0
2264081,7068,-3964,980,21,4,19,991,6,6,-1,0,174,-44,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264081,0
2264086,7076,-3964,992,20,-1,25,989,-2,-4,-4,0,174,-44,32,144,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,2264086,0
2264091,7064,-3950,992,18,1,28,989,-1,2,0,0,173,-55,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264091,0
2264096,7092,-3944,1004,22,15,34,988,-6,0,-1,0,173,-55,32,144,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,2264096,0
2264101,7060,-3980,1018,21,17,35,989,0,0,-2,0,173,-34,32,144,0,6,0,0,0,0,0,0,-32290,0,0,0,0,0,2264101,0
2264106,7106,-4004,976,31,21,42,991,5,0,1,0,173,-34,32,144,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,2264106,0
2264111,7094,-4004,992,32,27,45,989,-2,0,-1,0,173,-20,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264111,0
2264116,7126,-3982,964,39,33,43,989,-5,1,-1,0,173,-20,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264116,0
2264121,7130,-4006,948,45,37,49,989,0,-4,-1,0,173,-13,32,144,0,6,0,0,0,0,0,0,-32292,0,0,0,0,0,2264121,0
2264126,7118,-4010,952,37,31,46,990,0,2,0,0,173,-13,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264126,0
2264131,7132,-4022,954,41,37,46,990,4,3,-2,0,173,-31,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264131,0
2264136,7124,-3986,960,37,30,47,991,4,-6,0,0,173,-31,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264136,0
2264141,7052,-3986,936,31,29,49,989,0,5,-2,0,173,-45,32,144,0,6,0,0,0,0,0,0,-32291,0,0,0,0,0,2264140,0
