state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1251042,3908,-7360,180,258,-295,-22,27283,-9,44,8,0,20240,46,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1987,0
1251047,3874,-7392,174,263,-280,-21,27282,-2,13,10,0,20240,46,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251047,0
1251052,3786,-7376,156,252,-261,-3,27281,-7,2,11,0,20240,42,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251052,0
1251057,3824,-7422,184,258,-242,6,27279,-7,-4,12,0,20240,42,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251057,0
1251062,3742,-7448,206,253,-216,8,27276,-11,0,18,0,20245,48,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251062,0
1251067,3656,-7454,226,260,-218,7,27273,-21,-7,27,0,20245,48,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251067,0
1251072,3550,-7520,252,273,-201,26,27267,-25,-12,42,0,20251,55,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251072,0
1251077,3420,-7618,288,268,-177,30,27259,-44,-20,70,0,20251,55,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251077,0
1251082,3258,-7628,272,270,-179,35,27246,-56,-35,99,0,20250,59,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251082,0
1251087,3328,-7676,278,292,-199,21,27236,-43,-36,98,0,20250,59,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251087,0
1251092,3602,-7592,222,336,-261,-48,27232,-9,-10,52,0,20246,56,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251092,0
1251097,3636,-7542,212,347,-261,-54,27233,6,23,6,0,20246,56,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251097,0
1251102,3562,-7578,228,339,-259,-55,27233,4,46,0,0,20243,44,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251102,0
1251107,3502,-7650,256,343,-270,-42,27232,4,44,-3,0,20243,44,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251107,0
1251112,3428,-7580,274,353,-290,-34,27232,0,24,-3,0,20249,40,32,144,0,0,0,0,0,0,0,0,-32289,0,0,0,0,0,1251112,0
1251117,3504,-7496,334,344,-298,-21,27232,2,2,-1,0,20249,40,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251117,0
1251122,3526,-7440,374,334,-298,-10,27233,0,1,-2,0,20248,49,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251122,0
1251127,3504,-7430,370,320,-291,4,27231,0,-1,-2,0,20248,49,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251127,0
1251132,3448,-7378,400,311,-299,25,27232,-7,-2,-3,0,20243,61,32,144,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,1251132,0
