state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
277431,6700,-4968,588,-258,7,-567,-5661,194,12,-359,0,20221,72,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,1666,0
277436,6584,-5106,646,-271,5,-604,-5616,188,36,-380,0,20220,69,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277436,0
277441,6462,-5036,698,-233,-21,-628,-5569,211,38,-400,0,20220,69,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277441,0
277446,6522,-5060,636,-211,-10,-628,-5520,210,31,-438,0,20219,79,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277446,0
277451,6434,-5190,638,-205,-37,-610,-5472,207,15,-439,0,20219,79,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277451,0
277456,6524,-5184,570,-172,-35,-637,-5421,216,21,-429,0,20219,75,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277456,0
277461,6264,-5146,692,-179,-64,-627,-5372,214,19,-427,0,20219,75,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277461,0
277466,6158,-5180,690,-184,-49,-653,-5323,216,2,-388,0,20216,80,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277466,0
277471,6388,-5216,614,-132,-56,-635,-5274,216,0,-407,0,20216,80,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277471,0
277476,6242,-5284,666,-102,-58,-643,-5226,212,1,-432,0,20213,71,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277475,0
277481,6294,-5144,696,-75,-79,-633,-5176,212,-5,-408,0,20213,71,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277480,0
277486,6278,-5112,708,-71,-69,-661,-5126,225,2,-429,0,20214,65,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277485,0
277491,6356,-5142,724,-32,-96,-648,-5074,232,12,-462,0,20214,65,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277490,0
277496,6396,-5034,740,-12,-101,-668,-5020,236,13,-467,0,20214,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277495,0
277501,6420,-5060,772,10,-133,-661,-4967,241,19,-481,0,20214,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277500,0
277506,6446,-4916,786,21,-132,-661,-4912,238,17,-466,0,20215,51,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277505,0
277511,6374,-5066,766,-13,-115,-655,-4861,234,5,-453,0,20215,51,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277510,0
277516,6402,-4866,740,40,-149,-656,-4808,229,0,-466,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277515,0
277521,6348,-5062,698,25,-145,-632,-4757,224,-7,-464,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277520,0
277526,6268,-4942,740,28,-182,-621,-4708,216,-13,-452,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277525,0
277531,6384,-4776,730,53,-184,-642,-4653,243,-6,-451,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277530,0
277536,6402,-4694,766,107,-243,-649,-4597,250,6,-491,0,20216,53,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277535,0
277541,6576,-4500,728,107,-242,-675,-4539,263,26,-519,0,20216,53,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277540,0
277546,6634,-4690,694,101,-245,-658,-4480,258,35,-547,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32288,0,0,0,0,0,277545,0
277551,6462,-4706,806,71,-246,-627,-4424,234,22,-508,0,20216,55,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277550,0
277556,6648,-4674,780,56,-212,-631,-4369,237,-2,-480,0,20218,51,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277555,0
277561,6648,-4632,784,68,-227,-612,-4313,237,-9,-497,0,20218,51,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277560,0
277566,6746,-4432,836,74,-218,-628,-4259,245,-18,-485,0,20218,53,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277565,0
277571,6836,-4442,808,60,-202,-642,-4201,253,-5,-511,0,20218,53,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277570,0
277576,7040,-4224,806,71,-204,-659,-4140,271,16,-551,0,20217,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277575,0
277581,7052,-4188,792,58,-182,-686,-4077,277,33,-587,0,20217,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277580,0
277586,7116,-4320,764,30,-161,-676,-4014,273,33,-599,0,20216,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277585,0
277591,7040,-4416,774,-24,-137,-644,-3956,254,10,-552,0,20216,57,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277590,0
277596,7102,-4256,816,-48,-95,-665,-3898,254,-6,-531,0,20215,63,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277595,0
277601,7144,-4280,742,-51,-84,-662,-3840,258,-16,-532,0,20215,63,33,73,0,0,0,0,0,0,0,0,-32286,0,0,0,0,0,277600,0
277606,7110,-4126,726,-55,-77,-661,-3779,261,-14,-537,0,20215,64,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277605,0
277611,7188,-3976,722,-56,-65,-707,-3714,288,6,-584,0,20215,64,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277610,0
277616,7280,-4016,710,-96,-26,-727,-3647,291,30,-635,0,20215,62,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277615,0
277621,7354,-4020,696,-120,-18,-719,-3581,293,34,-650,0,20215,62,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277620,0
277626,7174,-4176,782,-169,11,-703,-3517,271,19,-622,0,20217,67,33,73,0,0,0,0,0,0,0,0,-32287,0,0,0,0,0,277625,0
