state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_angle_filtered,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
2509.227,0.0049762369999371,0.39111328125,0.90283203125,0.0185546875,5.251908396946565,6.900763358778626,2.3206106870229006,10093,9,-1,7.8278046175271445,7.827804617526836,0.01745708821895544,-0.00108,False,,False,0,,0,,33
2509.232,0.009982362999835459,0.39453125,0.90185546875,0.029052734375,5.740458015267175,7.572519083969465,2.5038167938931295,10093,7,-2,7.8278046175271445,7.827804617526838,-131.56748672551095,-0.00216,False,,False,0,,0,,33
2509.237,0.014978747999975894,0.395263671875,0.89697265625,0.021728515625,5.374045801526718,7.206106870229007,2.564885496183206,10093,4,0,7.8278046175271445,7.827804617526841,-600.3206815194119,0.0,False,,False,0,,0,,33
2509.242,0.019981670000106533,0.386962890625,0.910400390625,0.029541015625,5.435114503816794,7.419847328244274,2.778625954198473,10093,3,-1,7.8278046175271445,7.827804617526844,-1379.3473081153056,-0.00108,False,,False,0,,0,,33
2509.247,0.024985999999898922,0.39208984375,0.90869140625,0.03515625,5.862595419847328,7.877862595419847,2.6564885496183206,10094,-2,0,7.8253326936990195,7.827802282320571,-2294.7963002330393,0.0,False,,False,0,,0,,33
2509.252,0.02998747799983903,0.398193359375,0.916748046875,0.032958984375,5.465648854961832,7.267175572519084,2.931297709923664,10096,4,0,7.8203888460427695,7.827788478456069,-3224.228585989206,0.0,False,,False,0,,0,,33
2509.262,0.04057435200002146,0.4033203125,0.925537109375,0.027587890625,5.984732824427481,7.694656488549618,2.564885496183206,10096,5,0,7.8203888460427695,7.82775255717663,-4022.147383707874,0.0,False,,False,0,,0,,33
2509.267,0.04557329299996127,0.4072265625,0.921630859375,0.022216796875,5.587786259541985,7.419847328244274,2.931297709923664,10095,-2,0,7.8228607698708945,7.827694199528874,-4605.753397968373,0.0,False,,False,0,,0,,33
2509.282,0.0582213459997547,0.422119140625,0.929931640625,0.01123046875,5.923664122137405,6.351145038167939,3.297709923664122,10095,-4,-1,7.8228607698708945,7.827620204078818,-4983.054330371979,-0.00108,False,,False,0,,0,,33
2509.2870000000003,0.06322134299989557,0.408447265625,0.936279296875,0.01025390625,6.106870229007633,6.198473282442748,3.633587786259542,10095,-6,-2,7.8228607698708945,7.827534515235422,-5175.798849779683,-0.00216,False,,False,0,,0,,33
2509.292,0.0707634750001489,0.420654296875,0.93701171875,0.011474609375,6.3206106870229,5.2824427480916025,3.633587786259542,10095,0,-1,7.8228607698708945,7.8274384510179,-5322.473404681717,-0.00108,False,,False,0,,0,,33
2509.297,0.0757655639999939,0.412841796875,0.936767578125,0.006103515625,6.351145038167939,5.190839694656488,3.847328244274809,10094,-13,0,7.8253326936990195,7.827335591794384,-5515.577593764227,0.0,False,,False,0,,0,,33
2509.302,0.08076952300007179,0.4130859375,0.939208984375,0.011962890625,6.809160305343511,5.221374045801526,3.5725190839694654,10096,1,0,7.8203888460427695,7.8272269039856655,-5722.95670095254,0.0,False,,False,0,,0,,33
2509.3070000000002,0.08576911199997994,0.410888671875,0.932373046875,0.006103515625,6.65648854961832,5.374045801526718,3.5725190839694654,10096,7,0,7.8203888460427695,7.8271062882494435,-5922.861353861444,0.0,False,,False,0,,0,,33
2509.312,0.09076842300009957,0.425537109375,0.928466796875,0.005859375,6.778625954198473,4.702290076335878,3.3587786259541983,10095,-5,0,7.8228607698708945,7.826972879320326,-6101.893363324701,0.0,False,,False,0,,0,,33
2509.317,0.09577080799999749,0.412841796875,0.92724609375,0.00048828125,6.748091603053435,4.396946564885496,3.7251908396946565,10095,-3,0,7.8228607698708945,7.826832939462727,-6253.126622917823,0.0,False,,False,0,,0,,33
2509.322,0.10077510100018117,0.40869140625,0.934326171875,0.0029296875,7.145038167938931,4.305343511450381,3.7557251908396947,10096,7,-1,7.8203888460427695,7.826687552763556,-6374.401877982135,-0.00108,False,,False,0,,0,,33
2509.327,0.10577374500007863,0.41845703125,0.92724609375,0.001708984375,7.206106870229007,4.9465648854961835,3.450381679389313,10095,0,-1,7.8228607698708945,7.826535396512209,-6466.730988537367,-0.00108,False,,False,0,,0,,33
2509.332,0.11077575999979672,0.40625,0.9248046875,0.00146484375,7.603053435114504,4.091603053435114,4.213740458015267,10095,0,-2,7.8228607698708945,7.826379956453564,-6533.058469864884,-0.00216,False,,False,0,,0,,33
2509.337,0.11577653399990595,0.399658203125,0.9189453125,0.004150390625,7.938931297709924,4.549618320610687,4.488549618320611,10096,2,0,7.8203888460427695,7.826222099162418,-6577.391378999339,0.0,False,,False,0,,0,,33
2509.342,0.120781382000132,0.4140625,0.916015625,0.00732421875,8.122137404580153,4.458015267175572,4.366412213740458,10095,-4,-1,7.8228607698708945,7.826060291461651,-6604.066548244173,-0.00108,False,,False,0,,0,,33
2509.347,0.12577871099983895,0.411376953125,0.9072265625,0.0048828125,7.908396946564885,4.122137404580153,4.7328244274809155,10095,0,-1,7.8228607698708945,7.825897815871483,-6617.254132318522,-0.00108,False,,False,0,,0,,33
2509.352,0.13077774500015948,0.39794921875,0.911376953125,0.004638671875,8.580152671755725,4.396946564885496,5.038167938931298,10095,-1,-1,7.8228607698708945,7.8257376783423895,-6620.732028623577,-0.00108,False,,False,0,,0,,33
2509.357,0.1357777220000571,0.4140625,0.90380859375,0.00634765625,8.580152671755725,4.6106870229007635,4.916030534351145,10095,-2,0,7.8228607698708945,7.825580285205151,-6617.713139214131,0.0,False,,False,0,,0,,33
2509.362,0.140780292999807,0.421142578125,0.899169921875,0.00048828125,8.244274809160306,4.0,4.9465648854961835,10096,3,0,7.8203888460427695,7.825423662665913,-6610.779973030694,0.0,False,,False,0,,0,,33
2509.367,0.14577973299992664,0.413330078125,0.902587890625,0.002197265625,8.122137404580153,3.7862595419847325,5.343511450381679,10095,1,0,7.8228607698708945,7.825266001839088,-6601.89334464982,0.0,False,,False,0,,0,,33
2509.372,0.15078228499987745,0.40673828125,0.897216796875,-0.002685546875,8.091603053435113,4.33587786259542,5.648854961832061,10095,-4,-1,7.8228607698708945,7.825110321974078,-6592.447896101728,-0.00108,False,,False,0,,0,,33
2509.377,0.15578261500013468,0.416748046875,0.8955078125,-0.004638671875,8.183206106870228,4.0,5.801526717557252,10094,-10,-1,7.8253326936990195,7.824961713331812,-6583.392904066324,-0.00108,False,,False,0,,0,,33
2509.382,0.1607852219999586,0.412353515625,0.890869140625,-0.006103515625,7.8473282442748085,3.7251908396946565,6.259541984732824,10094,-3,-2,7.8253326936990195,7.824824806657526,-6575.3157507648175,-0.00216,False,,False,0,,0,,33
2509.387,0.16578649599978235,0.4052734375,0.89990234375,0.001708984375,7.969465648854961,3.6030534351145036,6.473282442748092,10096,7,-1,7.8203888460427695,7.824696789133357,-6568.544388247115,-0.00108,False,,False,0,,0,,33
2509.392,0.17078771399974357,0.393310546875,0.902099609375,0.0009765625,8.122137404580153,3.847328244274809,7.480916030534351,10094,-5,0,7.8253326936990195,7.824572718302623,-6563.164392574182,0.0,False,,False,0,,0,,33
2509.397,0.1757894329998635,0.39501953125,0.89892578125,0.00244140625,8.51908396946565,4.0,7.755725190839694,10095,0,0,7.8228607698708945,7.824455062642095,-6559.079159128517,0.0,False,,False,0,,0,,33
2509.402,0.1808786130000044,0.39404296875,0.89892578125,0.004150390625,8.458015267175572,4.122137404580153,8.091603053435113,10093,-6,0,7.8278046175271445,7.824348391713212,-6556.142575453598,0.0,False,,False,0,,0,,33
2509.407,0.1858804799999234,0.38671875,0.9052734375,0.005615234375,8.6412213740458,4.0,8.305343511450381,10093,-7,0,7.8278046175271445,7.824259180251799,-6554.168657087698,0.0,False,,False,0,,0,,33
2509.417,0.19652102000009108,0.376953125,0.9208984375,0.006103515625,9.007633587786259,4.396946564885496,8.396946564885496,10091,-7,0,7.8327484651833945,7.824195621715686,-6487.143606928376,0.0,False,,False,0,,0,,33
2509.422,0.20152212699986194,0.337890625,0.925537109375,-0.00244140625,7.877862595419847,2.687022900763359,7.236641221374046,10088,-7,-1,7.8401642366677695,7.824172121603188,-6317.935299491703,-0.00108,False,,False,0,,0,,33
2509.427,0.20652242000005572,0.333740234375,0.92236328125,-0.005615234375,8.274809160305344,3.0534351145038165,7.206106870229007,10089,0,-3,7.8376923128396445,7.824201709225691,-6162.601873472037,-0.0032400000000000003,False,,False,0,,0,,33
2509.4320000000002,0.21152510100000654,0.337646484375,0.93017578125,-0.021484375,9.007633587786259,4.641221374045801,6.99236641221374,10089,-2,-2,7.8376923128396445,7.8242820942443805,-6094.522350822342,-0.00216,False,,False,0,,0,,33
2509.437,0.21652581999978793,0.30810546875,0.930419921875,-0.000732421875,8.702290076335878,2.687022900763359,5.221374045801526,10088,0,-1,7.8401642366677695,7.824408653896764,-6087.882245985696,-0.00108,False,,False,0,,0,,33
2509.442,0.2215283159998762,0.34814453125,0.904541015625,-0.006103515625,9.099236641221374,3.847328244274809,7.236641221374046,10088,0,0,7.8401642366677695,7.8245816543962325,-6121.159971064105,0.0,False,,False,0,,0,,33
2509.447,0.2265329050001128,0.419921875,0.950927734375,0.0166015625,14.99236641221374,13.068702290076335,12.885496183206106,10085,-12,1,7.8475800081521445,7.824805834245003,-6177.345885050946,0.00108,False,,False,0,,0,,33
2509.452,0.23152965999997832,0.43505859375,0.900390625,0.01025390625,10.65648854961832,7.694656488549618,14.839694656488549,10077,-25,-1,7.8673553987771445,7.8251086877260345,-6243.611103115952,-0.00108,False,,False,0,,0,,33
2509.457,0.23653073000014047,0.37646484375,0.91845703125,0.0029296875,11.572519083969466,9.465648854961831,15.633587786259541,10071,-32,-1,7.8821869417458945,7.825540761423541,-6310.90816596189,-0.00108,False,,False,0,,0,,33
2509.462,0.24153211600014401,0.36376953125,0.923583984375,-0.00341796875,12.549618320610687,11.541984732824426,16.33587786259542,10065,-25,3,7.8970184847146445,7.826150151153754,-6373.450869088975,0.0032400000000000003,False,,False,0,,0,,33
2509.467,0.24653296399992541,0.374755859375,0.908447265625,-0.01025390625,12.335877862595419,11.389312977099236,16.396946564885496,10056,-42,1,7.9192657991677695,7.826982528596517,-6427.910155494851,0.00108,False,,False,0,,0,,33
2509.472,0.25153503399997135,0.3193359375,0.917236328125,-0.022216796875,11.572519083969466,9.129770992366412,13.679389312977099,10039,-83,2,7.9612885042458945,7.828111532504436,-6472.671222373148,0.00216,False,,False,0,,0,,33
2509.477,0.2565364930001124,0.30712890625,0.909423828125,-0.035400390625,11.450381679389313,8.82442748091603,13.068702290076335,10011,-127,3,8.030502371433395,7.829673475862613,-6507.318642477001,0.0032400000000000003,False,,False,0,,0,,33
2509.482,0.26153845199996795,0.3193359375,0.90673828125,-0.0322265625,13.251908396946565,10.961832061068701,13.343511450381678,9980,-137,0,8.10713201010527,7.831868507588123,-6532.368658434184,0.0,False,,False,0,,0,,33
