state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_angle_filtered,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
1044.984,0.0049766669999371516,0.4296875,0.90673828125,-0.006591796875,0.48854961832061067,-0.12213740458015267,-0.15267175572519084,11553,3,0,1.963288200281526,1.9632882002814485,-0.0817720352942204,0.0,False,,False,0,,0,,31
1044.989,0.009978111999998873,0.427978515625,0.90478515625,-0.003662109375,0.4580152671755725,0.030534351145038167,-0.061068702290076333,11553,0,-1,1.963288200281526,1.9632882002814487,-122.62011699074887,-0.00108,False,,False,0,,0,,31
1044.994,0.014975574999880337,0.428466796875,0.90478515625,-0.00634765625,0.3969465648854962,0.030534351145038167,-0.24427480916030533,11553,-4,0,1.963288200281526,1.9632882002814491,-559.1392352586039,0.0,False,,False,0,,0,,31
1044.999,0.019977018999952634,0.4326171875,0.908203125,-0.006591796875,0.3969465648854962,-0.0916030534351145,-0.15267175572519084,11554,4,0,1.960816276453401,1.9632858650751708,-1284.572116993711,0.0,False,,False,0,,0,,31
1045.0040000000001,0.024979166999855806,0.431884765625,0.902587890625,-0.005615234375,0.3053435114503817,-0.061068702290076333,-0.030534351145038167,11553,-8,0,1.963288200281526,1.9632790668295004,-2137.023750264223,0.0,False,,False,0,,0,,31
1045.009,0.02997933399979047,0.4296875,0.904296875,-0.005615234375,0.42748091603053434,0.12213740458015267,-0.12213740458015267,11554,1,0,1.960816276453401,1.9632682106996255,-3002.448735177019,0.0,False,,False,0,,0,,31
1045.0140000000001,0.03498031499998433,0.428955078125,0.90380859375,-0.00439453125,0.33587786259541985,0.0916030534351145,-0.12213740458015267,11553,-3,0,1.963288200281526,1.9632536827265525,-3806.671613763308,0.0,False,,False,0,,0,,31
1045.019,0.03998170399995615,0.432861328125,0.908935546875,-0.00390625,0.42748091603053434,0.061068702290076333,-0.0916030534351145,11554,-1,-1,1.960816276453401,1.9632358500035145,-4507.036419061727,-0.00108,False,,False,0,,0,,31
1045.0240000000001,0.04498294499990152,0.42724609375,0.905029296875,-0.00390625,0.3053435114503817,0.061068702290076333,-0.061068702290076333,11556,8,0,1.955872428797151,1.9632080552809934,-5084.558746394744,0.0,False,,False,0,,0,,31
1045.029,0.049984166999820445,0.428466796875,0.90673828125,-0.005126953125,0.24427480916030533,0.061068702290076333,-0.21374045801526717,11554,2,0,1.960816276453401,1.9631642449806328,-5536.901493460553,0.0,False,,False,0,,0,,31
1045.034,0.05498685199995634,0.427490234375,0.905517578125,-0.003662109375,0.4580152671755725,0.030534351145038167,-0.15267175572519084,11554,6,-2,1.960816276453401,1.9631106167750603,-5872.572220640132,-0.00216,False,,False,0,,0,,31
1045.039,0.05998629699979574,0.427734375,0.904296875,-0.00390625,0.5190839694656488,0.0,0.0,11553,-2,-2,1.963288200281526,1.9630552136908213,-6106.439647814811,-0.00216,False,,False,0,,0,,31
