state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_zero_position,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
740.932,7.532019912000578,-0.226318359,0.069091797,0.002441406,40.79389313,50.96183206,109.1603053,28975,-1115,-217,0,8.920410156,-122.2229959,0.46114623448280506,False,0.8916271091044952,False,,,,,35
740.942,7.5340207990002455,-0.299316406,0.070800781,-0.030761719,37.58778626,60.88549618,125.0687023,28467,-1109,-122,0,8.283203125,-101.8438908,0.2598651020631309,False,0.9075434251661012,False,,,,,35
740.952,7.5360229450006955,-0.362060547,0.072509766,-0.083740234,32.79389313,70.22900763,150.6870229,27970,-1079,-76,0,7.448242188,-85.63451115,0.1623845930619129,False,0.0,True,,,,,35
740.962,7.538023943000553,-0.393554688,0.08203125,-0.028808594,28.51908397,71.41984733,171.8473282,27495,-1035,-103,0,6.503417969,-79.59253863,0.2208508931194113,False,0.015335377105969387,False,,,,,35
740.972,7.540026960000432,-0.445068359,0.12109375,0.022949219,24.0,68.39694656,203.2671756,27022,-1045,-183,0,5.514648438,-81.28375437,0.39382644536481815,False,0.032195232767288445,False,,,,,35
740.982,7.542027125000459,-0.476318359,0.163818359,0.037841797,23.63358779,61.2519084,223.5114504,26529,-1106,-272,0,4.569824219,-86.27226872,0.5873706103868795,False,0.04916765882617901,False,,,,,35
740.992,7.544028364000042,-0.516357422,0.244140625,0.020019531,24.51908397,46.80916031,255.6641221,25990,-1219,-320,0,3.668945313,-90.14699208,0.69321086150909,False,0.06475051074367721,False,,,,,35
741.002,7.546029361999899,-0.437255859,0.231201172,0.064453125,25.3129771,37.77099237,272.4580153,25410,-1303,-267,0,2.812011719,-91.15361907,0.5800581999903749,False,0.08206785038520407,False,,,,,35
741.012,7.548031674999947,-0.380615234,0.262207031,0.044433594,25.61832061,23.20610687,295.9694656,24805,-1331,-185,0,2.04296875,-89.13187328,0.40289007394995746,False,0.09791072348735906,False,,,,,35
741.022,7.5500341910001225,-0.395019531,0.314697266,0.025390625,24.33587786,16.85496183,313.648855,24199,-1332,-140,0,1.33984375,-84.94646279,0.3055240988423133,False,0.11437780105178404,False,,,,,35
741.032,7.552050410999982,-0.367431641,0.435058594,0.010742188,23.48091603,9.34351145,341.129771,23605,-1300,-124,0,0.680664063,-79.00141645,0.2710967529522652,False,0.13177329324285875,False,,,,,35
741.042,7.554036262000409,-0.340820313,0.501953125,-0.023193359,23.48091603,2.900763359,358.0763359,23032,-1252,-85,0,0.087402344,-72.47338926,0.18611099235310524,False,0.14743323222609217,False,,,,,35
741.052,7.556038223000542,-0.264160156,0.571289063,-0.099121094,25.3740458,-5.954198473,379.5725191,22488,-1175,-71,0,-0.330078125,-64.626394,0.15561229714738412,False,0.16424429829768528,False,,,,,35
741.062,7.5580392770007165,-0.228271484,0.646484375,-0.161621094,24.94656489,-11.17557252,391.7862595,21968,-1126,-37,0,-0.59375,-54.38697963,0.08114471128047451,False,0.18133007115797972,False,,,,,35
741.072,7.560040367000511,-0.161132813,0.712158203,-0.141113281,24.79389313,-13.95419847,403.3282443,21484,-1037,-1,0,-0.681640625,-41.35710358,0.0021935599129500245,False,0.1998814314632736,False,,,,,35
