state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_angle_filtered,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
6002.174,0.004975429000296572,0.42431640625,0.906982421875,0.041748046875,0.061068702290076333,-1.3435114503816794,-0.12213740458015267,60846,1,0,0.044399238971127186,0.04439923897112544,-0.0074509450757386485,0.0,False,,False,0,,0,,36
6002.179,0.009996634999879461,0.4208984375,0.9072265625,0.043701171875,0.183206106870229,-1.1603053435114503,-0.061068702290076333,60846,0,-1,0.044399238971127186,0.044399238971125445,-604.3197878830572,-0.00108,False,,False,0,,0,,36
6002.184,0.014996470999903977,0.420654296875,0.90869140625,0.044677734375,0.15267175572519084,-1.3740458015267174,-0.2748091603053435,60846,-4,-1,0.044399238971127186,0.04439923897112546,-2756.2869511197423,-0.00108,False,,False,0,,0,,36
6002.189,0.01999549299944192,0.42236328125,0.910888671875,0.043701171875,0.183206106870229,-1.3435114503816794,-0.12213740458015267,60845,0,-1,0.046871162799252186,0.0444015741774045,-6332.273573254339,-0.00108,False,,False,0,,0,,36
6002.194,0.02499645799980499,0.424560546875,0.908447265625,0.04296875,0.12213740458015267,-1.4045801526717556,-0.21374045801526717,60846,5,0,0.044399238971127186,0.044408372423075854,-10534.285879236775,0.0,False,,False,0,,0,,37
6002.1990000000005,0.029998201999660523,0.42333984375,0.910400390625,0.0419921875,0.12213740458015267,-1.5572519083969465,-0.21374045801526717,60846,-3,0,0.044399238971127186,0.04441689334667297,-14800.25838125308,0.0,False,,False,0,,0,,37
6002.204,0.034999407999748655,0.42041015625,0.913818359375,0.042724609375,0.15267175572519084,-1.648854961832061,-0.12213740458015267,60845,-2,0,0.046871162799252186,0.04442695828035519,-18764.541583590646,0.0,False,,False,0,,0,,36
6002.209,0.04000083699975221,0.41650390625,0.908447265625,0.04296875,0.15267175572519084,-1.7709923664122136,-0.21374045801526717,60846,4,0,0.044399238971127186,0.04444073311918998,-22216.861365753266,0.0,False,,False,0,,0,,36
6002.214,0.045001857999523054,0.41796875,0.91015625,0.042236328125,0.15267175572519084,-1.8015267175572518,-0.183206106870229,60845,0,0,0.046871162799252186,0.04445785037967718,-25063.505748838612,0.0,False,,False,0,,0,,37
6002.219,0.05000376899988623,0.421630859375,0.910888671875,0.040771484375,0.0,-1.7099236641221374,-0.24427480916030533,60846,0,0,0.044399238971127186,0.04447796119306056,-27293.018483944943,0.0,False,,False,0,,0,,37
