state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_angle_filtered,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
453.758,0.004972936999990907,0.95654296875,0.275146484375,-0.02001953125,5.923664122137405,2.3206106870229006,-2.351145038167939,21225,-16,43,3.5423776482567444,3.5423776482605223,-0.005246487884761286,0.04644,False,,False,0,,0,,30
453.76300000000003,0.009970318000000589,0.951171875,0.273193359375,-0.012451171875,4.641221374045801,2.3206106870229006,-2.595419847328244,21219,-27,51,3.5572091912254944,3.5423778757171895,-224.8698570238997,0.055080000000000004,False,,False,0,,0,,30
453.76800000000003,0.014997124999979405,0.9375,0.301025390625,-0.011474609375,0.061068702290076333,0.7938931297709924,-5.1603053435114505,21206,-60,45,3.5893442009911194,3.5423792758402537,-1025.656346791292,0.048600000000000004,False,,False,0,,0,,30
453.773,0.019990080000013677,0.918701171875,0.311279296875,-0.017333984375,-3.1755725190839694,-0.0916030534351145,-7.114503816793893,21181,-115,5,3.6511422966942444,3.5423839964291823,-2356.1602696698446,0.0054,False,,False,0,,0,,30
453.778,0.02515671899999461,0.9208984375,0.317626953125,-0.025390625,-3.0229007633587783,-0.5190839694656488,-7.450381679389313,21150,-124,0,3.7277719353661194,3.5423955640051448,-3919.147926672388,0.0,False,,False,0,,0,,30
453.783,0.030157415000019228,0.9091796875,0.330078125,-0.02734375,-1.5877862595419847,-0.3969465648854962,-9.007633587786259,21115,-159,3,3.8142892693504944,3.5424185271806627,-5505.401164697622,0.0032400000000000003,False,,False,0,,0,,30
453.788,0.03515753700003188,0.930908203125,0.275634765625,-0.019775390625,0.7938931297709924,0.183206106870229,-8.916030534351144,21082,-152,-6,3.8958627556786194,3.5424578385397028,-6979.027457349136,-0.0064800000000000005,False,,False,0,,0,,30
453.793,0.04015599199999542,0.9228515625,0.270751953125,-0.005615234375,0.8549618320610687,-0.21374045801526717,-9.190839694656487,21047,-153,-1,3.9823800896629944,3.5425184707772512,-8262.018925377117,-0.00108,False,,False,0,,0,,30
453.798,0.04516161399999419,0.9404296875,0.2353515625,0.00048828125,0.48854961832061067,0.21374045801526717,-7.755725190839694,21016,-137,-3,4.059009728334869,3.542605264534352,-9319.699166572738,-0.0032400000000000003,False,,False,0,,0,,30
453.803,0.05015829199999189,0.955322265625,0.255859375,0.00732421875,-0.42748091603053434,-1.5877862595419847,-9.190839694656487,20982,-155,3,4.143055138491119,3.5427228916503513,-10147.938376891821,0.0032400000000000003,False,,False,0,,0,,30
453.808,0.055162932000030196,0.9892578125,0.241943359375,-0.0087890625,-0.2748091603053435,-1.6793893129770991,-7.206106870229007,20952,-122,-6,4.217212853334869,3.542875894650293,-10762.509763642873,-0.0064800000000000005,False,,False,0,,0,,30
453.813,0.06016073900002539,0.974853515625,0.242431640625,-0.014892578125,1.2213740458015268,-0.3969465648854962,-6.229007633587786,20928,-105,1,4.276539025209869,3.5430683467096356,-11190.783533823205,0.00108,False,,False,0,,0,,30
453.818,0.0651661940000281,0.99755859375,0.22509765625,-0.0166015625,1.984732824427481,0.6412213740458015,-4.244274809160305,20913,-59,-5,4.313617882631744,3.543303325856483,-11465.418549076508,-0.0054,False,,False,0,,0,,30
453.82300000000004,0.07016670500001965,1.017578125,0.20556640625,-0.01416015625,4.366412213740458,1.3129770992366412,-1.9236641221374045,20913,0,-9,4.313617882631744,3.5435823950426917,-11619.841958406416,-0.00972,False,,False,0,,0,,30
453.82800000000003,0.07516805000000204,1.02734375,0.1923828125,-0.00390625,3.450381679389313,2.4427480916030535,0.33587786259541985,20916,21,-1,4.306202111147369,3.5439055050548114,-11685.179116476498,-0.00108,False,,False,0,,0,,30
453.833,0.08016624599997613,1.021728515625,0.211669921875,-0.000244140625,-1.129770992366412,1.0381679389312977,-0.030534351145038167,20918,-2,2,4.301258263491119,3.5442718463324585,-11688.330488361624,0.00216,False,,False,0,,0,,30
453.838,0.08517044199999191,1.001953125,0.228759765625,-0.008056640625,-4.396946564885496,-0.15267175572519084,0.0,20917,-5,0,4.303730187319244,3.5446806914243605,-11651.325892199919,0.0,False,,False,0,,0,,30
453.843,0.0901696010000137,0.989013671875,0.251220703125,-0.020263671875,-4.793893129770992,-0.8549618320610687,0.3969465648854962,20918,0,-3,4.301258263491119,3.545131507854356,-11591.490266948389,-0.0032400000000000003,False,,False,0,,0,,30
453.848,0.09517385200001627,0.955078125,0.26416015625,-0.02197265625,-3.7557251908396947,-0.6412213740458015,0.549618320610687,20917,0,0,4.303730187319244,3.545623804362637,-11521.808800107441,0.0,False,,False,0,,0,,30
