state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
181.183,2.363668741000083,-0.955322265625,0.260009765625,-0.04443359375,0.6412213740458015,-0.42748091603053434,0.7938931297709924,6498,-3,0,142.7783203125,0.02242595781721391,0.0,False,,False,,,,,30
181.183,2.365700471000082,-0.955322265625,0.260009765625,-0.04443359375,0.6412213740458015,-0.42748091603053434,0.7938931297709924,6498,-3,0,142.7783203125,0.02242595781721391,0.0,False,,False,,,,,30
181.183,2.3676730330000737,-0.955322265625,0.260009765625,-0.04443359375,0.6412213740458015,-0.42748091603053434,0.7938931297709924,6498,-3,0,142.7783203125,0.02242595781721391,0.0,False,,False,,,,,30
181.18800000000002,2.3696759110000585,-0.960205078125,0.2568359375,-0.04296875,0.7938931297709924,-0.366412213740458,0.8854961832061068,6499,5,-4,142.80029296875,-0.08268231825232487,-0.005256,False,,False,,,,,30
181.18800000000002,2.371679474000075,-0.960205078125,0.2568359375,-0.04296875,0.7938931297709924,-0.366412213740458,0.8854961832061068,6499,5,-4,142.80029296875,-0.08268231825232487,-0.005256,False,,False,,,,,30
181.193,2.373679536000054,-0.95703125,0.259033203125,-0.042724609375,0.6717557251908397,-0.42748091603053434,0.916030534351145,6498,4,1,142.7783203125,-0.198595168889178,0.001314,False,,False,,,,,30
181.193,2.375774117000219,-0.95703125,0.259033203125,-0.042724609375,0.6717557251908397,-0.42748091603053434,0.916030534351145,6498,4,1,142.7783203125,-0.198595168889178,0.001314,False,,False,,,,,30
181.193,2.3777750130000186,-0.95703125,0.259033203125,-0.042724609375,0.6717557251908397,-0.42748091603053434,0.916030534351145,6498,4,1,142.7783203125,-0.198595168889178,0.001314,False,,False,,,,,30
181.198,2.379776539000204,-0.96044921875,0.25537109375,-0.043701171875,0.916030534351145,-0.183206106870229,1.0381679389312977,6498,-9,-4,142.7783203125,-0.3086738793736573,-0.005256,False,,False,,,,,30
181.198,2.3817783240001518,-0.96044921875,0.25537109375,-0.043701171875,0.916030534351145,-0.183206106870229,1.0381679389312977,6498,-9,-4,142.7783203125,-0.3086738793736573,-0.005256,False,,False,,,,,30
181.203,2.3842776980000053,-0.9599609375,0.253662109375,-0.042724609375,0.732824427480916,-0.3969465648854962,0.9770992366412213,6499,0,-4,142.80029296875,-0.3963580820529119,-0.005256,False,,False,,,,,30
181.203,2.3867589060000682,-0.9599609375,0.253662109375,-0.042724609375,0.732824427480916,-0.3969465648854962,0.9770992366412213,6499,0,-4,142.80029296875,-0.3963580820529119,-0.005256,False,,False,,,,,30
181.208,2.38886932000014,-0.961181640625,0.251708984375,-0.04150390625,0.7633587786259541,-0.2748091603053435,1.2519083969465647,6499,2,2,142.80029296875,-0.4321925714949121,0.002628,False,,False,,,,,30
181.208,2.391062160000047,-0.961181640625,0.251708984375,-0.04150390625,0.7633587786259541,-0.2748091603053435,1.2519083969465647,6499,2,2,142.80029296875,-0.4321925714949121,0.002628,False,,False,,,,,30
181.208,2.393139407000035,-0.961181640625,0.251708984375,-0.04150390625,0.7633587786259541,-0.2748091603053435,1.2519083969465647,6499,2,2,142.80029296875,-0.4321925714949121,0.002628,False,,False,,,,,30
181.213,2.395417820000148,-0.962158203125,0.255859375,-0.04150390625,0.7022900763358778,-0.12213740458015267,1.129770992366412,6498,-3,0,142.7783203125,-0.4559314931495919,0.0,False,,False,,,,,30
181.213,2.3974184570001853,-0.962158203125,0.255859375,-0.04150390625,0.7022900763358778,-0.12213740458015267,1.129770992366412,6498,-3,0,142.7783203125,-0.4559314931495919,0.0,False,,False,,,,,30
181.21800000000002,2.399421482000207,-0.962158203125,0.25146484375,-0.044189453125,0.732824427480916,0.0,1.282442748091603,6498,1,-2,142.7783203125,-0.5010315133260709,-0.002628,False,,False,,,,,30
181.21800000000002,2.4014204340001015,-0.962158203125,0.25146484375,-0.044189453125,0.732824427480916,0.0,1.282442748091603,6498,1,-2,142.7783203125,-0.5010315133260709,-0.002628,False,,False,,,,,30
181.21800000000002,2.403422626000065,-0.962158203125,0.25146484375,-0.044189453125,0.732824427480916,0.0,1.282442748091603,6498,1,-2,142.7783203125,-0.5010315133260709,-0.002628,False,,False,,,,,30
181.223,2.405421393000097,-0.9619140625,0.25390625,-0.04296875,0.5190839694656488,0.030534351145038167,1.2519083969465647,6499,4,0,142.80029296875,-0.5315301164082565,0.0,False,,False,,,,,30
181.228,2.409603739000204,-0.96435546875,0.254150390625,-0.0380859375,0.4580152671755725,-0.030534351145038167,1.3740458015267174,6498,-2,-2,142.7783203125,-0.5334472635137923,-0.002628,False,,False,,,,,30
181.228,2.411893041000212,-0.96435546875,0.254150390625,-0.0380859375,0.4580152671755725,-0.030534351145038167,1.3740458015267174,6498,-2,-2,142.7783203125,-0.5334472635137923,-0.002628,False,,False,,,,,30
181.233,2.413991770000166,-0.963623046875,0.251953125,-0.037841796875,0.549618320610687,-0.030534351145038167,1.3435114503816794,6498,-5,2,142.7783203125,-0.5432399521143926,0.002628,False,,False,,,,,30
181.233,2.415994221000119,-0.963623046875,0.251953125,-0.037841796875,0.549618320610687,-0.030534351145038167,1.3435114503816794,6498,-5,2,142.7783203125,-0.5432399521143926,0.002628,False,,False,,,,,30
181.233,2.4182544490001874,-0.963623046875,0.251953125,-0.037841796875,0.549618320610687,-0.030534351145038167,1.3435114503816794,6498,-5,2,142.7783203125,-0.5432399521143926,0.002628,False,,False,,,,,30
181.238,2.4203928630001883,-0.96337890625,0.25390625,-0.038818359375,0.3969465648854962,0.0916030534351145,1.4045801526717556,6498,-7,0,142.7783203125,-0.5594840355512212,0.0,False,,False,,,,,30
181.238,2.4223928510000405,-0.96337890625,0.25390625,-0.038818359375,0.3969465648854962,0.0916030534351145,1.4045801526717556,6498,-7,0,142.7783203125,-0.5594840355512212,0.0,False,,False,,,,,30
181.243,2.424426451000045,-0.96337890625,0.248291015625,-0.038818359375,0.33587786259541985,0.061068702290076333,1.5572519083969465,6498,-1,-3,142.7783203125,-0.5649781921881918,-0.003942,False,,False,,,,,30
181.243,2.4263946800001577,-0.96337890625,0.248291015625,-0.038818359375,0.33587786259541985,0.061068702290076333,1.5572519083969465,6498,-1,-3,142.7783203125,-0.5649781921881918,-0.003942,False,,False,,,,,30
181.243,2.42839707600001,-0.96337890625,0.248291015625,-0.038818359375,0.33587786259541985,0.061068702290076333,1.5572519083969465,6498,-1,-3,142.7783203125,-0.5649781921881918,-0.003942,False,,False,,,,,30
181.248,2.4306983600001786,-0.96240234375,0.252197265625,-0.035400390625,0.24427480916030533,0.12213740458015267,1.3129770992366412,6498,-5,0,142.7783203125,-0.561393115013847,0.0,False,,False,,,,,30
181.248,2.432698959000163,-0.96240234375,0.252197265625,-0.035400390625,0.24427480916030533,0.12213740458015267,1.3129770992366412,6498,-5,0,142.7783203125,-0.561393115013847,0.0,False,,False,,,,,30
181.25300000000001,2.4346978180001315,-0.962890625,0.2529296875,-0.03857421875,0.2748091603053435,0.15267175572519084,1.5267175572519083,6498,-8,0,142.7783203125,-0.5502590059161332,0.0,False,,False,,,,,30
181.25300000000001,2.4366984000000684,-0.962890625,0.2529296875,-0.03857421875,0.2748091603053435,0.15267175572519084,1.5267175572519083,6498,-8,0,142.7783203125,-0.5502590059161332,0.0,False,,False,,,,,30
181.258,2.4387047960001382,-0.962890625,0.248779296875,-0.0380859375,0.3053435114503817,0.3053435114503817,1.4351145038167938,6498,0,1,142.7783203125,-0.5329662825958466,0.001314,False,,False,,,,,30
181.258,2.4407046360001914,-0.962890625,0.248779296875,-0.0380859375,0.3053435114503817,0.3053435114503817,1.4351145038167938,6498,0,1,142.7783203125,-0.5329662825958466,0.001314,False,,False,,,,,30
181.258,2.4428118090002044,-0.962890625,0.248779296875,-0.0380859375,0.3053435114503817,0.3053435114503817,1.4351145038167938,6498,0,1,142.7783203125,-0.5329662825958466,0.001314,False,,False,,,,,30
181.263,2.4448142240000834,-0.95947265625,0.250732421875,-0.038818359375,0.183206106870229,0.33587786259541985,1.4045801526717556,6498,0,-1,142.7783203125,-0.5107681953968249,-0.001314,False,,False,,,,,30
181.263,2.4468139720002,-0.95947265625,0.250732421875,-0.038818359375,0.183206106870229,0.33587786259541985,1.4045801526717556,6498,0,-1,142.7783203125,-0.5107681953968249,-0.001314,False,,False,,,,,30
181.268,2.448982904000104,-0.955810546875,0.25537109375,-0.037841796875,0.24427480916030533,0.4580152671755725,1.5572519083969465,6498,-5,-4,142.7783203125,-0.4847850051740943,-0.005256,False,,False,,,,,30
181.268,2.4509837810001045,-0.955810546875,0.25537109375,-0.037841796875,0.24427480916030533,0.4580152671755725,1.5572519083969465,6498,-5,-4,142.7783203125,-0.4847850051740943,-0.005256,False,,False,,,,,30
181.268,2.453068751000046,-0.955810546875,0.25537109375,-0.037841796875,0.24427480916030533,0.4580152671755725,1.5572519083969465,6498,-5,-4,142.7783203125,-0.4847850051740943,-0.005256,False,,False,,,,,30
181.273,2.455073647000063,-0.956298828125,0.25732421875,-0.038818359375,0.42748091603053434,0.3969465648854962,1.5877862595419847,6498,0,4,142.7783203125,-0.45600940751071484,0.005256,False,,False,,,,,30
