state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_zero_position,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
717.458,3.350275478000185,-0.293701172,0.238769531,-0.217529297,2.229007634,-33.34351145,65.16030534,-36588,1454,1525,0,7.909667969,-188.8218759,3.2527949143377026,False,0.9304924435436854,False,,,,,34
717.468,3.3522770409999794,-0.260253906,0.223876953,-0.116455078,4.946564885,-43.69465649,102.259542,-35808,1847,943,0,6.635253906,-206.0102967,2.0209710795848026,False,0.9501337057258139,False,,,,,34
717.478,3.3542798270000276,-0.25390625,0.122314453,-0.086914063,7.969465649,-45.12977099,123.6641221,-34921,2002,544,0,5.602539063,-190.4289705,1.1703404535878148,False,0.9675550744038328,False,,,,,34
717.488,3.3562804269995468,-0.229736328,0.094238281,0.041992188,13.09923664,-36.70229008,150.5954198,-34013,2007,271,0,4.657714844,-160.6800604,0.5850270080245061,False,0.0,True,,,,,34
717.498,3.3582823609995103,-0.186279297,0.091552734,0.145996094,19.26717557,-28.61068702,168.7938931,-33108,1979,194,0,3.734863281,-131.155872,0.4201638746253549,False,0.018564844970062735,False,,,,,34
717.508,3.360283072999664,-0.120849609,0.120361328,0.24609375,28.58015267,-12.73282443,194.4122137,-32239,1876,166,0,2.855957031,-108.8353398,0.36058381569195125,False,0.03565922376330125,False,,,,,34
717.518,3.3622832109995215,-0.109375,0.150878906,0.255615234,34.99236641,-3.969465649,213.221374,-31433,1729,172,0,2.064941406,-93.348108,0.374553694721271,False,0.05299540324180524,False,,,,,34
717.528,3.364284755999506,-0.096923828,0.2265625,0.185058594,42.50381679,7.175572519,242.0763359,-30696,1587,174,0,1.317871094,-82.96674941,0.3797465602138341,False,0.07059617393600769,False,,,,,34
717.538,3.3662865039996177,-0.148681641,0.302001953,0.086425781,43.96946565,10.59541985,260.9770992,-30009,1483,194,0,0.768554688,-74.70384498,0.42403658801452465,False,0.08766281548532058,False,,,,,34
717.548,3.3682881790000465,-0.290039063,0.437988281,-0.023193359,46.04580153,9.618320611,284.2748092,-29360,1391,154,0,0.416992188,-64.52046664,0.3369142179567417,False,0.10533818796657127,False,,,,,34
717.558,3.370289278999735,-0.442138672,0.513427734,-0.046875,46.47328244,4.854961832,297.4351145,-28767,1267,85,0,0.197265625,-51.34429074,0.18606120289640446,False,0.12300183985559013,False,,,,,34
717.568,3.3722903059997407,-0.62890625,0.579833984,-0.058105469,46.65648855,-9.007633588,313.5267176,-28246,1093,32,0,0.087402344,-37.30567492,0.07006531476822786,False,0.14086834263320383,False,,,,,34
717.578,3.3742916289993445,-0.717285156,0.596191406,-0.056884766,48.64122137,-22.65648855,322.6259542,-27806,912,7,0,-0.06640625,-25.27604729,0.015332424227846198,False,0.15837106144704519,False,,,,,34
717.588,3.376292987999477,-0.744140625,0.580322266,0.015625,53.52671756,-47.26717557,336.1221374,-27454,734,24,0,-0.2421875,-17.58789378,0.052590325941854955,False,0.1762420207244694,False,,,,,34
717.598,3.3782944590002444,-0.712402344,0.566162109,0.083496094,56.76335878,-63.75572519,344.2748092,-27178,556,25,0,-0.308105469,-13.41645089,0.0547901937321381,False,0.19440958670328126,False,,,,,34
717.608,3.380295522999404,-0.516113281,0.556152344,0.203369141,64.76335878,-77.70992366,349.6183206,-26978,369,-107,0,-0.41796875,-10.74329141,-0.23456343019518786,False,0.2121894284113258,False,,,,,34
717.618,3.3822967159994732,-0.385498047,0.578369141,0.268798828,72.27480916,-82.07633588,351.3587786,-26884,163,20,0,-0.681640625,-10.7761132,0.04387119825900049,False,0.22983360540200934,False,,,,,34
717.628,3.3842995569993946,-0.208740234,0.647460938,0.294189453,85.00763359,-78.87022901,354.0763359,-26810,168,293,0,-1.055175781,-15.86291069,0.6432858863387393,False,0.24996564930349766,False,,,,,34
717.638,3.3863001390000136,-0.148193359,0.711914063,0.222412109,92.0610687,-78.71755725,358.5648855,-26681,337,465,0,-1.384765625,-23.47680022,1.0217175760778798,False,0.26774615949137753,False,,,,,34
717.648,3.3883003319997442,-0.095458984,0.835693359,0.055175781,103.2061069,-73.70992366,358.7480916,-26497,429,457,0,-1.428710938,-26.2622463,1.0042449389507084,False,0.2852795835902102,False,,,,,34
717.658,3.3903030249994117,-0.019042969,0.891113281,0.01953125,110.259542,-68.0610687,353.1908397,-26285,467,224,0,-1.428710938,-21.66283355,0.4922338431618351,False,0.30401377549632747,False,,,,,34
717.668,3.3923041999996713,0.102050781,0.989013672,0.079345703,118.9618321,-55.41984733,342.3816794,-26108,337,-6,0,-1.428710938,-13.80257209,-0.013184835084692014,False,0.32062222663125717,False,,,,,34
717.678,3.394305207999423,0.18359375,1.088378906,0.159912109,123.3282443,-41.40458015,334.1374046,-26044,42,-283,0,-1.406738281,-6.817117818,-0.6218521167386935,False,0.33709270457064006,False,,,,,34
717.688,3.396306493999873,0.268554688,1.304931641,0.210205078,126.9618321,-11.05343511,320.5496183,-26068,-46,-93,0,-1.406738281,-1.995649618,-0.20435422917561302,False,0.3554731842142298,False,,,,,34
717.698,3.3983086500002173,0.376220703,1.474609375,0.150634766,128.9160305,13.22137405,306.9618321,-26069,9,-94,0,-1.406738281,0.274941547,-0.2065515864785766,False,0.3761101226328754,False,,,,,34
717.708,3.400310879999779,0.4296875,1.770507813,0.002441406,124.7022901,52.88549618,281.4351145,-26067,12,-41,0,-1.384765625,1.395858074,-0.0900869260627808,False,0.39237955903121163,False,,,,,34
717.718,3.402312295000229,0.395996094,1.942626953,-0.075927734,115.2671756,79.32824427,262.1984733,-26071,-2,-141,0,-1.406738281,1.660553065,-0.3098273797178649,False,0.41010856991811145,False,,,,,34
717.728,3.404312007000044,0.252685547,2.170166016,-0.046875,91.54198473,116.2748092,231.9389313,-26070,3,-89,0,-1.318847656,1.726922042,-0.19552379134385853,False,0.4263479695112917,False,,,,,34
717.738,3.406313589000092,0.132568359,2.286865234,0.011962891,70.29007634,140.9770992,207.2977099,-26076,-25,-245,0,-1.165039063,4.118024995,-0.5380421672949666,False,0.4442933612265665,False,,,,,34
