state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_zero_position,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
0,3.0405783299993345,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0425845720001234,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.044585351999558,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0465875199997754,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0485876140000983,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0505902079994485,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.052970499999901,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0549755379997805,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.057811007000055,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.059816359999786,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.061818213999686,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.063819899999544,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0658180319996973,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0678228850001688,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.06982435000009,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0718266109997785,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.073827186000017,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0758301509995363,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.077830559999711,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.079831469000055,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.081831229999807,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.083835194999665,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0858362700000725,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.087838290000036,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.089838810999936,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0918383309999626,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0938427949995457,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.095843240999784,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.0978436129998954,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.099845040999753,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.101848764999886,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.103848636999828,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.105852046000109,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1078532699993957,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1098540489992956,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1118554949998725,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.113856625999688,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1158582019997993,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.117859703999784,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.119860853999853,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1218616149999434,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1238625050000337,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1258627839997644,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.127863452999918,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.129867546999776,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.13186712300012,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1338711979997242,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1358719589998145,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1378741829994397,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.139875926000059,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1418771680000646,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1438782069999434,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.145878855999399,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1478806360000817,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.149882618999982,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.151881527999649,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1538852699995914,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1558845129993642,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1578863109998565,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1598902380001164,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.161891850999382,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.163892685999599,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1658954839995204,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1678972820000126,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.169899042999532,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.171899821999432,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1739013789992896,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1759008989993163,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.177904475000105,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.179905291999603,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.181906385999355,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1839075729994875,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.18590694500017,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1879115389992876,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.189911206999568,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.191911856999468,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.193914950999897,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.195913675000156,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.197915713999464,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.1999192149996816,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2019181239993486,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.203921070999968,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.205923256999995,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2079227779995563,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.209927482999774,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2119250219993773,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2139284309996583,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2159277659993677,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.217929100999754,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2199329719996967,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2219324190000407,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.223935271999835,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.225935847999608,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.227937145999931,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2299415179995776,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.2319403900000907,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.233944242999314,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.23594365200006,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
0,3.237944523999431,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,False,,,,,
