state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
1507.183,37.585556832000066,0.71533203125,0.96826171875,-0.338134765625,203.3587786259542,-215.48091603053433,-106.13740458015266,47627,-5453,-14656,65.70490072958371,-36153.40506432536,-15.82848,False,0.14397541662377975,False,-14519,,-15.680623531524123,,32
1507.188,37.59055627999987,0.73388671875,0.724853515625,-0.2470703125,229.2824427480916,-193.74045801526717,-102.25954198473282,46413,-5327,-14718,68.70581625692746,-36127.24472555741,-15.895439999999999,False,0.1477192669225234,False,-14423,,-15.576905366742603,,32
1507.193,37.595559542000046,0.858154296875,0.675048828125,-0.297607421875,239.29770992366412,-181.31297709923663,-98.22900763358778,45225,-5214,-14846,71.64246176473996,-36107.2126002394,-16.03368,False,0.1515534936499077,False,-14311,,-15.45682252345985,,32
1507.198,37.60055963800005,0.995361328125,0.75390625,-0.42138671875,245.74045801526717,-167.57251908396947,-93.22137404580153,44095,-4937,-14725,74.43573569052121,-36094.08032469312,-15.903,False,0.15529027557464345,False,-14191,,-15.326719792113478,,32
1507.203,37.60556256699988,0.99658203125,0.630126953125,-0.36767578125,237.3740458015267,-146.68702290076337,-89.34351145038167,43050,-4549,-14426,77.01889609091184,-36088.68210213713,-15.58008,False,0.15909589178410385,False,-14056,,-15.18139112217168,,32
1507.208,37.61056242199993,1.1357421875,0.49267578125,-0.391845703125,222.71755725190837,-110.77862595419847,-74.65648854961832,42084,-4220,-14441,79.40677450888059,-36091.72595963291,-15.59628,False,0.16287961443751564,False,-13911,,-15.024494721445206,,32
1507.213,37.615566314000034,1.138671875,0.408447265625,-0.472900390625,211.11450381679387,-93.09923664122137,-71.54198473282443,41179,-3960,-14242,81.64386557333371,-36102.95802317618,-15.38136,False,0.1667015001005838,False,-13753,,-14.853899771396394,,32
1507.218,37.62056563199985,1.171630859375,0.439453125,-0.562744140625,207.66412213740458,-83.78625954198473,-65.19083969465649,40327,-3723,-13982,83.74994467489621,-36121.06123784348,-15.10056,False,0.17045463478771924,False,-13587,,-14.674951405999908,,32
1507.223,37.62556867199987,1.0927734375,0.315673828125,-0.6279296875,194.38167938931298,-71.93893129770991,-61.55725190839694,39532,-3470,-13874,85.71512411825559,-36144.34105777516,-14.983920000000001,False,0.1742783986857621,False,-13408,,-14.481433183715717,,32
1507.228,37.63056854599995,1.0478515625,0.291748046875,-0.759033203125,171.41984732824426,-55.75572519083969,-54.412213740458014,38801,-3201,-13773,87.52210043661496,-36171.364331124016,-14.87484,False,0.178029093182034,False,-13223,,-14.281054868292447,,32
1507.233,37.63557190100005,1.012451171875,0.2646484375,-0.742431640625,163.75572519083968,-50.87022900763358,-53.160305343511446,38111,-3023,-13677,89.22772787802121,-36200.8615346249,-14.77116,False,0.18181564984992454,False,-13026,,-14.068583770319947,,32
1507.238,37.640571107999904,0.945556640625,0.185302734375,-0.77783203125,149.95419847328245,-45.37404580152671,-48.76335877862595,37459,-2859,-13396,90.83942221395871,-36231.40270398556,-14.467680000000001,False,0.18559461859974521,False,-12821,,-13.846772728680454,,32
1507.243,37.64557435100005,0.947998046875,0.203125,-0.791015625,138.7175572519084,-39.26717557251908,-44.18320610687023,36838,-2713,-13097,92.37448691122434,-36261.62942325661,-14.144760000000002,False,0.18943289867952298,False,-12603,,-13.611935497691729,,32
1507.248,37.650574076999874,0.907958984375,0.0546875,-0.845458984375,122.04580152671755,-29.923664122137403,-38.44274809160305,36257,-2544,-13172,93.81067465536496,-36290.61629986418,-14.225760000000001,False,0.1931784734706916,False,-12383,,-13.373924630878271,,32
1507.253,37.65557835799996,0.868896484375,0.083251953125,-0.818115234375,111.26717557251908,-24.335877862595417,-34.3206106870229,35717,-2361,-12787,95.14551352255246,-36317.98857963125,-13.80996,False,0.1970134583083414,False,-12149,,-13.121619444765809,,32
1507.258,37.660577601999876,0.8642578125,-0.0166015625,-0.822998046875,101.55725190839695,-18.931297709923662,-26.687022900763356,35234,-2095,-12610,96.33945273153684,-36343.90370011373,-13.6188,False,0.20074844454954963,False,-11914,,-12.867940798962817,,32
1507.263,37.66558253099993,0.848876953125,-0.058349609375,-0.791015625,84.97709923664122,-12.366412213740457,-21.98473282442748,34818,-1800,-12300,97.36777304403684,-36369.00663590968,-13.283999999999999,False,0.20454922203159284,False,-11668,,-12.602169429581872,,32
1507.268,37.670580682000036,0.818115234375,-0.076171875,-0.746337890625,51.26717557251908,3.66412213740458,-10.320610687022901,34468,-1507,-12060,98.23294638388059,-36394.12379992664,-13.0248,False,0.20832511895824823,False,-11417,,-12.330951394466398,,32
