state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_angle_filtered,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
4829.934,0.004973579999386857,0.452880859375,0.89208984375,-0.00244140625,0.8244274809160305,-0.061068702290076333,-1.0687022900763359,28656,3,-2,0.6539260719158115,0.6539260719157858,-0.038669947938234514,-0.00216,False,,False,0,,0,,40
4829.934,0.009976955999263737,0.452880859375,0.89208984375,-0.00244140625,0.8244274809160305,-0.061068702290076333,-1.0687022900763359,28656,3,-2,0.6539260719158115,0.653926071915786,-0.038669947938234514,-0.00216,False,,False,0,,0,,40
4829.934,0.014975701999901503,0.452880859375,0.89208984375,-0.00244140625,0.8244274809160305,-0.061068702290076333,-1.0687022900763359,28656,3,-2,0.6539260719158115,0.6539260719157861,-0.038669947938234514,-0.00216,False,,False,0,,0,,40
4829.954,0.019977706999270595,0.45263671875,0.892822265625,-0.003173828125,0.8549618320610687,0.24427480916030533,-0.9465648854961831,28654,1,0,0.6588699195720615,0.6539307423283441,-71.82235529812961,0.0,False,,False,0,,0,,40
4829.959,0.024978989999908663,0.45068359375,0.89697265625,-0.00537109375,1.0381679389312977,0.21374045801526717,-0.8549618320610687,28655,-1,0,0.6563979957439365,0.6539466740259658,-542.8172027954662,0.0,False,,False,0,,0,,40
4829.964,0.02998456899968005,0.451416015625,0.8974609375,-0.001708984375,1.0076335877862594,0.061068702290076333,-0.9465648854961831,28655,-4,0,0.6563979957439365,0.6539728493251104,-1734.5346983774891,0.0,False,,False,0,,0,,40
4829.969,0.034982944000148564,0.4521484375,0.89404296875,-0.00439453125,1.0381679389312977,0.15267175572519084,-0.9465648854961831,28654,-2,0,0.6588699195720615,0.654008298361743,-3508.1011756843845,0.0,False,,False,0,,0,,40
4829.974,0.039984987000025285,0.447265625,0.894775390625,-0.00244140625,0.8549618320610687,0.3969465648854962,-0.9465648854961831,28652,-4,0,0.6638137672283115,0.6540614395155288,-5512.3209410331065,0.0,False,,False,0,,0,,40
4829.979,0.044985843999711506,0.451904296875,0.89697265625,-0.005859375,1.0687022900763359,0.366412213740458,-0.9770992366412213,28654,0,0,0.6588699195720615,0.6541375733397549,-7503.4745634614,0.0,False,,False,0,,0,,40
4829.984,0.04998660799992649,0.449462890625,0.89794921875,-0.005615234375,1.0687022900763359,0.33587786259541985,-1.0076335877862594,28652,-1,0,0.6638137672283115,0.6542344572098002,-9326.321717386205,0.0,False,,False,0,,0,,40
4829.9890000000005,0.054987742999401235,0.45361328125,0.896728515625,-0.005615234375,1.0687022900763359,0.15267175572519084,-1.099236641221374,28652,1,0,0.6638137672283115,0.654354631181292,-10894.769778011492,0.0,False,,False,0,,0,,40
4829.994,0.059989970000060566,0.448974609375,0.897216796875,-0.002197265625,1.2519083969465647,0.366412213740458,-1.4045801526717556,28652,-1,0,0.6638137672283115,0.6545003313358724,-12174.059725840849,0.0,False,,False,0,,0,,40
4829.999,0.06499036399964098,0.450439453125,0.898681640625,-0.00390625,1.2213740458015268,0.33587786259541985,-1.1603053435114503,28649,-12,0,0.6712295387126865,0.6546758423829802,-13165.11795368946,0.0,False,,False,0,,0,,40
4830.004,0.06999205499960226,0.450439453125,0.897705078125,-0.003662109375,1.465648854961832,0.21374045801526717,-1.5877862595419847,28647,-10,0,0.6761733863689365,0.6548966481111779,-13891.653541268115,0.0,False,,False,0,,0,,40
4830.009,0.07499255999937304,0.441162109375,0.90087890625,-0.005859375,1.129770992366412,-0.15267175572519084,-1.8015267175572518,28640,-22,2,0.6934768531658115,0.6551907558924422,-14390.112433943485,0.00216,False,,False,0,,0,,40
4830.014,0.0799940279994189,0.43017578125,0.90380859375,-0.005126953125,1.0381679389312977,-0.732824427480916,-2.931297709923664,28628,-55,3,0.7231399391033115,0.6556162076918279,-14702.11205416654,0.0032400000000000003,False,,False,0,,0,,40
4830.019,0.08616175299994211,0.4130859375,0.90869140625,-0.007080078125,0.3053435114503817,-1.8015267175572518,-4.305343511450381,28607,-103,5,0.7750503394939365,0.6562816591369702,-14869.22342966242,0.0054,False,,False,0,,0,,40
4830.024,0.09116222099964943,0.4033203125,0.904052734375,-0.00341796875,0.6717557251908397,-1.3740458015267174,-5.404580152671755,28579,-118,1,0.8442642066814365,0.6573556767870097,-14929.68800388066,0.00108,False,,False,0,,0,,40
4830.029,0.0961628559998644,0.419189453125,0.8994140625,-0.00732421875,1.0687022900763359,-1.129770992366412,-6.076335877862595,28553,-120,2,0.9085342262126865,0.6590399904253293,-14916.688652370203,0.00216,False,,False,0,,0,,40
4830.034,0.10116439800003718,0.423828125,0.890869140625,-0.007080078125,0.3969465648854962,-1.9236641221374045,-6.290076335877862,28523,-124,4,0.9826919410564365,0.6615332182062681,-14857.547879698172,0.00432,False,,False,0,,0,,40
4830.039,0.10616614399987157,0.428466796875,0.895751953125,-0.000732421875,1.0381679389312977,-1.2519083969465647,-6.015267175572519,28495,-118,-3,1.0519058082439365,0.6650233750681432,-14773.525503037556,-0.0032400000000000003,False,,False,0,,0,,40
4830.044,0.11116807500002324,0.431396484375,0.891357421875,-0.00341796875,0.549618320610687,-1.648854961832061,-6.381679389312977,28461,-143,1,1.1359512184001865,0.6696927342106844,-14680.23550630168,0.00108,False,,False,0,,0,,40
4830.049,0.11616941400006908,0.428466796875,0.902099609375,0.00146484375,1.129770992366412,-1.3435114503816794,-6.473282442748092,28428,-140,-1,1.2175247047283115,0.6757246321323803,-14588.406655366154,-0.00108,False,,False,0,,0,,40
4830.054,0.12117180799941707,0.433837890625,0.8896484375,-0.001953125,0.8854961832061068,-1.0381679389312977,-6.229007633587786,28393,-151,-2,1.3040420387126865,0.6832956798195726,-14504.832268607865,-0.00216,False,,False,0,,0,,40
4830.059,0.12617279499954748,0.45556640625,0.897705078125,-0.001953125,1.7099236641221374,0.4580152671755725,-4.6106870229007635,28366,-113,-6,1.3707839820720615,0.6925499799366099,-14433.31535953966,-0.0064800000000000005,False,,False,0,,0,,40
4830.064,0.13117453999984718,0.466796875,0.88427734375,0.0009765625,1.282442748091603,0.3969465648854962,-4.244274809160305,28344,-102,3,1.4251663062908115,0.7035686534004337,-14375.465382538008,0.0032400000000000003,False,,False,0,,0,,40
4830.069,0.1361757859995123,0.469970703125,0.89453125,0.005615234375,1.6793893129770991,1.1908396946564885,-3.3893129770992365,28324,-77,-3,1.4746047828533115,0.7163725526077211,-14331.226580581337,-0.0032400000000000003,False,,False,0,,0,,40
4830.0740000000005,0.14117756899941014,0.4765625,0.889404296875,-0.0009765625,2.0763358778625953,1.6793893129770991,-2.381679389312977,28316,-33,-3,1.4943801734783115,0.7309249717128732,-14299.479689911328,-0.0032400000000000003,False,,False,0,,0,,40
