state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
2426.396,0.0049750289999792585,0.943603515625,0.357421875,0.089111328125,21.954198473282442,4.0,5.740458015267175,2986,6,-3,7.401938014606938,0.05503403970006081,-0.0032400000000000003,False,,False,0,,0,,33
2426.396,0.00997468800005663,0.943603515625,0.357421875,0.089111328125,21.954198473282442,4.0,5.740458015267175,2986,6,-3,7.401938014606938,0.05503403970006081,-0.0032400000000000003,False,,False,0,,0,,33
2426.411,0.016168312999980117,0.96044921875,0.37548828125,0.114013671875,24.916030534351144,5.129770992366412,6.473282442748092,2984,0,0,7.406881862263188,-19.641481291711525,0.0,False,,False,0,,0,,33
2426.416,0.02117019400020581,0.969482421875,0.3759765625,0.12744140625,26.748091603053435,6.137404580152672,6.412213740458015,2983,-5,3,7.409353786091313,-129.6019668424246,0.0032400000000000003,False,,False,0,,0,,33
2426.4210000000003,0.02617037200025152,0.98095703125,0.368896484375,0.12939453125,28.091603053435115,6.778625954198473,6.961832061068702,2983,-1,1,7.409353786091313,-387.61707689646886,0.00108,False,,False,0,,0,,32
2426.426,0.031172753000191733,0.972900390625,0.376220703125,0.1376953125,26.62595419847328,6.259541984732824,5.801526717557252,2982,0,2,7.411825709919438,-759.4525473301471,0.00216,False,,False,0,,0,,32
2426.431,0.03617283700032203,0.9736328125,0.368408203125,0.137939453125,25.64885496183206,6.045801526717557,5.2824427480916025,2984,1,4,7.406881862263188,-1174.4359080510837,0.00432,False,,False,0,,0,,33
2426.436,0.04117640300000858,1.01171875,0.367919921875,0.142333984375,33.25190839694656,6.931297709923664,7.358778625954198,2982,-2,0,7.411825709919438,-1583.765113330576,0.0,False,,False,0,,0,,33
2426.4410000000003,0.04617584000015995,0.95703125,0.318359375,0.128662109375,32.70229007633588,8.732824427480915,8.366412213740457,2980,-7,1,7.416769557575688,-1956.5355405030514,0.00108,False,,False,0,,0,,33
2426.446,0.051177887999983795,0.99658203125,0.305419921875,0.14208984375,32.67175572519084,8.030534351145038,8.67175572519084,2979,-10,2,7.419241481403813,-2275.8832133408264,0.00216,False,,False,0,,0,,33
2426.451,0.056178324000029534,0.978515625,0.288818359375,0.13427734375,32.45801526717557,8.732824427480915,9.557251908396946,2976,-14,5,7.426657252888188,-2535.313816301445,0.0054,False,,False,0,,0,,33
2426.456,0.06118031599999085,0.97998046875,0.2880859375,0.1337890625,32.15267175572519,9.954198473282442,10.931297709923664,2976,-3,6,7.426657252888188,-2735.47555578384,0.0064800000000000005,False,,True,0,,0,,33
2426.4610000000002,0.06618112300020584,0.96728515625,0.283935546875,0.12744140625,31.908396946564885,10.778625954198473,11.877862595419847,2975,-4,3,7.429129176716313,-2881.575219696111,0.0032400000000000003,False,,False,0,,0,,33
2426.466,0.07118356000000858,0.971435546875,0.28076171875,0.1279296875,31.93893129770992,11.206106870229007,12.15267175572519,2974,-8,0,7.431601100544438,-2981.2753253696415,0.0,False,,False,0,,0,,33
2426.471,0.07618473699994865,0.96630859375,0.289794921875,0.11865234375,31.053435114503817,12.061068702290076,12.885496183206106,2974,-2,1,7.431601100544438,-3043.207748330836,0.00108,False,,False,0,,0,,33
2426.476,0.08118654400004743,0.96630859375,0.299560546875,0.107177734375,30.62595419847328,13.16030534351145,13.404580152671755,2974,-3,1,7.431601100544438,-3075.9624217477303,0.00108,False,,False,0,,0,,33
2426.481,0.08618649900017772,0.958251953125,0.302978515625,0.098388671875,30.839694656488547,13.740458015267174,13.801526717557252,2973,-3,0,7.434073024372563,-3087.3726042912585,0.0,False,,False,0,,0,,32
2426.486,0.09118930600016029,0.9638671875,0.316650390625,0.094482421875,30.839694656488547,13.954198473282442,13.740458015267174,2973,-3,1,7.434073024372563,-3084.1669164108175,0.00108,False,,False,0,,0,,32
2426.491,0.09619068700021671,0.962158203125,0.32421875,0.089599609375,31.14503816793893,14.076335877862595,13.83206106870229,2973,-2,0,7.434073024372563,-3071.8547704756415,0.0,False,,False,0,,0,,33
2426.496,0.10119325300001947,0.958251953125,0.331298828125,0.0810546875,32.0,14.015267175572518,13.49618320610687,2973,5,0,7.434073024372563,-3054.7011898761657,0.0,False,,False,0,,0,,33
2426.501,0.10619400499990661,0.94970703125,0.341552734375,0.082275390625,32.45801526717557,13.709923664122137,13.343511450381678,2972,-1,4,7.436544948200688,-3035.8106253126157,0.00432,False,,False,0,,0,,33
2426.506,0.11119568200001595,0.94873046875,0.343017578125,0.083251953125,33.221374045801525,13.526717557251908,13.038167938931297,2972,-2,0,7.436544948200688,-3017.3136589629257,0.0,False,,False,0,,0,,33
2426.511,0.11619924800015724,0.951416015625,0.343994140625,0.0830078125,33.9236641221374,13.374045801526718,12.396946564885496,2975,3,0,7.429129176716313,-3000.5947684264997,0.0,False,,False,0,,0,,33
2426.516,0.12119994400018186,0.94921875,0.343994140625,0.0908203125,35.23664122137404,13.648854961832061,10.99236641221374,2974,0,0,7.431601100544438,-2986.389122634108,0.0,False,,False,0,,0,,33
2426.521,0.1262019179998788,0.94287109375,0.349365234375,0.093505859375,35.541984732824424,13.83206106870229,10.50381679389313,2974,0,8,7.431601100544438,-2974.8968232886064,0.00864,False,,False,0,,0,,33
